id,raw_text,aspectTerms
38,The sushi seemed pretty fresh and was adequately proportioned.,"[{'term': 'sushi', 'polarity': 'positive'}, {'term': 'sushi', 'polarity': 'positive'}]"
39,The rice to fish ration was also good--they didn't try to overpack the rice.,"[{'term': 'rice to fish ration', 'polarity': 'positive'}]"
74,"Everytime I decide to try another place on the UES, I get angry that I didn't just go to Zucchero Pomodori.","[{'term': 'Zucchero Pomodori', 'polarity': 'positive'}]"
98,Located at the end of a magnificent block.,"[{'term': 'block', 'polarity': 'positive'}]"
117,"Pizza - the only pizza in NYC that should not have additional toppings - the crust tastes like the best, freshly baked bread!","[{'term': 'crust', 'polarity': 'positive'}, {'term': 'pizza', 'polarity': 'positive'}]"
120,I'd highly recommend it for a special occasion -- it provides and intimate setting and nice service.,"[{'term': 'setting', 'polarity': 'positive'}, {'term': 'service', 'polarity': 'positive'}]"
132,The staff is incredibly helpful and attentive.,"[{'term': 'staff', 'polarity': 'positive'}]"
140,The food was good too.,"[{'term': 'food', 'polarity': 'positive'}]"
158,Try the lobster teriyaki and the rose special roll.,"[{'term': 'lobster teriyaki', 'polarity': 'positive'}, {'term': 'rose special roll', 'polarity': 'positive'}]"
172,"If we were to move from the upper east side, we would genuinely miss this restaurant.","[{'term': 'restaurant', 'polarity': 'positive'}]"
199,Hats off to the chef.,"[{'term': 'chef', 'polarity': 'positive'}]"
216,"And it all comes at a very reasonable price (congee, noodles, and rice dishes are no more than $3-6 each).","[{'term': 'congee', 'polarity': 'positive'}, {'term': 'noodles', 'polarity': 'positive'}, {'term': 'rice dishes', 'polarity': 'positive'}]"
266,"Cute place, nice wait staff but would never go there again.","[{'term': 'wait staff', 'polarity': 'positive'}, {'term': 'place', 'polarity': 'positive'}, {'term': 'place', 'polarity': 'negative'}]"
292,The food is amazing... especially if you get the Chef's tasting menu and your favourite bottle (or two!) of wine from an extensive selection of wines.,"[{'term': 'food', 'polarity': 'positive'}, {'term': 'selection of wines', 'polarity': 'positive'}, {'term': ""Chef's tasting menu"", 'polarity': 'positive'}]"
310,"However, I think Jeckll and Hydes t is one of those places that is fun to do once.","[{'term': 'Jeckll and Hydes', 'polarity': 'positive'}]"
335,"Despite a slightly limited menu, everything prepared is done to perfection, ultra fresh and a work of food art.","[{'term': 'menu', 'polarity': 'negative'}]"
344,"The food is delicious - from the specials to the regular menu-fare, the dishes are never a disappointment.","[{'term': 'food', 'polarity': 'positive'}, {'term': 'dishes', 'polarity': 'positive'}, {'term': 'specials', 'polarity': 'positive'}, {'term': 'regular menu-fare', 'polarity': 'positive'}]"
348,"If you go, try the marinara/arrabiatta sauce, the mozzarella en Carozza is mmmmmmmm..... everything is just delicious.","[{'term': 'marinara/arrabiatta sauce', 'polarity': 'positive'}, {'term': 'mozzarella en Carozza', 'polarity': 'positive'}]"
360,But the staff was so horrible to us.,"[{'term': 'staff', 'polarity': 'negative'}]"
362,We were planning to get dessert but the waitress basically through the bill at us before we had a chance to order.,"[{'term': 'waitress', 'polarity': 'negative'}]"
368,This place is always packed.,"[{'term': 'place', 'polarity': 'neutral'}]"
383,I have been to Roth's twice and both times were very disappointing.,"[{'term': ""Roth's"", 'polarity': 'negative'}]"
387,With the theater 2 blocks away we had a delicious meal in a beautiful room.,"[{'term': 'meal', 'polarity': 'positive'}, {'term': 'room', 'polarity': 'positive'}]"
396,Chennai Garden is my favorite Indian restaurant in the city.,"[{'term': 'Chennai Garden', 'polarity': 'positive'}]"
415,"Even though its good seafood, the prices are too high.","[{'term': 'seafood', 'polarity': 'positive'}, {'term': 'seafood', 'polarity': 'negative'}]"
421,We ate at this Thai place following the reviews but very unhappy with the foods.,"[{'term': 'foods', 'polarity': 'negative'}]"
460,"The staff has been nice, but they seemed really stressed and the unisex bathroom needs to be cleaned more often.","[{'term': 'staff', 'polarity': 'positive'}, {'term': 'staff', 'polarity': 'negative'}, {'term': 'unisex bathroom', 'polarity': 'negative'}]"
514,"Service here was great, food was fantastic.","[{'term': 'Service', 'polarity': 'positive'}, {'term': 'food', 'polarity': 'positive'}]"
516,You cannot go wrong with this place.,"[{'term': 'place', 'polarity': 'positive'}]"
531,"The first time the sushi was outstanding, the second time it was a little bland.","[{'term': 'sushi', 'polarity': 'positive'}, {'term': 'sushi', 'polarity': 'negative'}]"
554,"Their calzones are horrific, bad, vomit-inducing, YUCK.","[{'term': 'calzones', 'polarity': 'negative'}]"
561,"The atmosphere is unheralded, the service impecible, and the food magnificant.","[{'term': 'atmosphere', 'polarity': 'positive'}, {'term': 'service', 'polarity': 'positive'}, {'term': 'food', 'polarity': 'positive'}]"
565,"The food is good, especially their more basic dishes, and the drinks are delicious.","[{'term': 'food', 'polarity': 'positive'}, {'term': 'basic dishes', 'polarity': 'positive'}, {'term': 'drinks', 'polarity': 'positive'}]"
567,Great sushi experience.,"[{'term': 'sushi', 'polarity': 'positive'}]"
570,"Good spreads, great beverage selections and bagels really tasty.","[{'term': 'spreads', 'polarity': 'positive'}, {'term': 'beverage selections', 'polarity': 'positive'}, {'term': 'bagels', 'polarity': 'positive'}]"
588,"The fish was adequate, but inexpertly sliced.","[{'term': 'fish', 'polarity': 'negative'}]"
609,"The wait staff is pleasant, fun, and for the most part gorgeous (in the wonderful aesthetic beautification way, not in that she's-way-cuter-than-me-that-b@#$* way).","[{'term': 'wait staff', 'polarity': 'positive'}]"
627,The food is excellent! ,"[{'term': 'food', 'polarity': 'positive'}]"
630,"The rest of the dim sum, though pricey by Chinatown standards, is worth it.","[{'term': 'dim sum', 'polarity': 'negative'}, {'term': 'dim sum', 'polarity': 'positive'}]"
646,Service is fast and friendly.,"[{'term': 'Service', 'polarity': 'positive'}]"
647,"The food is decent at best, and the ambience, well, it's a matter of opinion, some may consider it to be a sweet thing, I thought it was just annoying.","[{'term': 'food', 'polarity': 'negative'}, {'term': 'ambience', 'polarity': 'negative'}]"
655,I really loved the different and inovated touch that's the cheff gives to the food.,"[{'term': 'cheff', 'polarity': 'positive'}]"
670,"The anti-pasta was excellent, especially the calamari, as were the filling pasta mains.","[{'term': 'anti-pasta', 'polarity': 'positive'}, {'term': 'calamari', 'polarity': 'positive'}, {'term': 'pasta mains', 'polarity': 'positive'}, {'term': 'pasta mains', 'polarity': 'positive'}]"
679,I have been doing all of the above at the Heartland Brewery for over 5 years now and I HAVE NEVER BEEN DISAPPOINTED!,"[{'term': 'Heartland Brewery', 'polarity': 'positive'}]"
683,The shrimp scampi was excellent and the antipasti were plentiful.,"[{'term': 'shrimp scampi', 'polarity': 'positive'}, {'term': 'antipasti', 'polarity': 'positive'}]"
708,"Great spot, whether looking for a couple of drinks or quiet dinner.","[{'term': 'spot', 'polarity': 'positive'}, {'term': 'spot', 'polarity': 'positive'}]"
725,"Service, however, was excellent...and I liked the setting/atmosphere a lot. ","[{'term': 'Service', 'polarity': 'positive'}, {'term': 'setting/atmosphere', 'polarity': 'positive'}]"
