epoch	precision	recall	f1
1	0.3516	0.2514	0.2932
2	0.7212	0.4553	0.5582
3	0.7761	0.5615	0.6515
4	0.7250	0.5670	0.6364
5	0.7808	0.5670	0.6570
6	0.7508	0.6397	0.6908
7	0.7574	0.6453	0.6968
8	0.7860	0.5950	0.6773
9	0.7342	0.6480	0.6884
10	0.7088	0.6732	0.6905
11	0.7450	0.6285	0.6818
12	0.7441	0.6173	0.6748
13	0.7540	0.6592	0.7034
14	0.7447	0.6844	0.7132
15	0.7257	0.7095	0.7175
16	0.7437	0.6564	0.6973
17	0.7180	0.6899	0.7037
18	0.7475	0.6201	0.6779
19	0.7586	0.6760	0.7149
20	0.7891	0.6480	0.7117
21	0.7319	0.6788	0.7043
22	0.7401	0.6760	0.7066
23	0.7270	0.6844	0.7050
24	0.7401	0.6760	0.7066
25	0.7364	0.6788	0.7064
