epoch	precision	recall	f1
1	0.3319	0.2170	0.2625
2	0.6299	0.6126	0.6212
3	0.7833	0.5165	0.6225
4	0.8231	0.6264	0.7114
5	0.7422	0.6566	0.6968
6	0.7803	0.6538	0.7115
7	0.7275	0.7555	0.7412
8	0.8045	0.6896	0.7426
9	0.7896	0.7115	0.7486
10	0.7781	0.7225	0.7493
11	0.8453	0.6456	0.7321
12	0.8339	0.7308	0.7789
13	0.7906	0.7363	0.7624
14	0.8185	0.7060	0.7581
15	0.8349	0.7225	0.7747
16	0.8602	0.6593	0.7465
17	0.8365	0.7308	0.7801
18	0.7970	0.7225	0.7579
19	0.8312	0.7170	0.7699
20	0.8197	0.6868	0.7474
21	0.8323	0.7225	0.7735
22	0.8557	0.7005	0.7704
23	0.8307	0.7143	0.7681
24	0.8196	0.7115	0.7618
25	0.8409	0.7115	0.7708
