epoch	precision	recall	f1
1	0.2846	0.1307	0.1792
2	0.5000	0.3074	0.3807
3	0.5545	0.4311	0.4851
4	0.6981	0.6537	0.6752
5	0.6545	0.5088	0.5726
6	0.6421	0.6148	0.6282
7	0.6729	0.6325	0.6521
8	0.6747	0.6890	0.6818
9	0.7238	0.6113	0.6628
10	0.7033	0.6113	0.6541
11	0.7480	0.6502	0.6957
12	0.6985	0.6466	0.6716
13	0.6491	0.7385	0.6909
14	0.7294	0.6572	0.6914
15	0.7288	0.6078	0.6628
16	0.7283	0.6820	0.7044
17	0.7079	0.7279	0.7178
18	0.7016	0.7562	0.7279
19	0.7536	0.7350	0.7442
20	0.7429	0.6431	0.6894
21	0.7350	0.7350	0.7350
22	0.7846	0.6820	0.7297
23	0.7312	0.7208	0.7260
24	0.7537	0.7244	0.7387
25	0.7462	0.6855	0.7145
26	0.7472	0.6996	0.7226
27	0.7343	0.7032	0.7184
28	0.7312	0.7208	0.7260
