epoch	precision	recall	f1
1	0.0000	0.0000	0.0000
2	0.4327	0.2990	0.3536
3	0.6103	0.6711	0.6392
4	0.7161	0.5615	0.6294
5	0.6605	0.5947	0.6259
6	0.7768	0.5781	0.6629
7	0.7375	0.6346	0.6821
8	0.7631	0.6312	0.6909
9	0.6918	0.6711	0.6813
10	0.7401	0.6811	0.7093
11	0.7118	0.6811	0.6961
12	0.7872	0.6146	0.6903
13	0.7358	0.6478	0.6890
14	0.7578	0.6445	0.6966
15	0.7263	0.6877	0.7065
16	0.7473	0.6877	0.7163
17	0.7321	0.6445	0.6855
18	0.7621	0.6279	0.6885
19	0.7579	0.6346	0.6908
20	0.7746	0.6279	0.6936
21	0.7471	0.6478	0.6940
22	0.7645	0.6578	0.7071
