	precision	recall	f1	accuracy	support
AMBIENCE:NEGATIVE	0.9	0.6	0.72	0.5625	16.0
AMBIENCE:NEUTRAL	0	0	0	0	0
AMBIENCE:POSITIVE	0.8929	0.7143	0.7937	0.6579	38.0
FOOD:NEGATIVE	0.8679	0.807	0.8364	0.7188	64.0
FOOD:NEUTRAL	1.0	0.6667	0.8	0.6667	12.0
FOOD:POSITIVE	1.0	0.8977	0.9461	0.8977	88.0
PRICE:NEGATIVE	0.7778	0.3684	0.5	0.3333	21.0
PRICE:NEUTRAL	0.0	0.0	0.0	0.0	2.0
PRICE:POSITIVE	0.0	0.0	0.0	0.0	5.0
GENERAL-IMPRESSION:NEGATIVE	0.875	0.7179	0.7887	0.6512	43.0
GENERAL-IMPRESSION:NEUTRAL	0.0	0.0	0.0	0.0	3.0
GENERAL-IMPRESSION:POSITIVE	0.7647	0.8125	0.7879	0.65	60.0
SERVICE:NEGATIVE	0.8929	0.9259	0.9091	0.8333	60.0
SERVICE:NEUTRAL	0	0	0	0	0
SERVICE:POSITIVE	0.95	0.9048	0.9268	0.8636	66.0
Micro-AVG	0.9016	0.7909	0.8426	0.728	478.0
Macro-AVG	0.5947	0.4943	0.5339		478
