	precision	recall	f1	accuracy	support
AMBIENCE#GENERAL	0.8333	0.9302	0.8791	0.7843	51.0
DRINKS#PRICES	0.75	1.0	0.8571	0.75	4.0
DRINKS#QUALITY	0.8571	0.75	0.8	0.6667	9.0
DRINKS#STYLE_OPTIONS	0.8333	0.8333	0.8333	0.7143	7.0
FOOD#PRICES	0.8333	0.625	0.7143	0.5556	18.0
FOOD#QUALITY	0.9122	0.9	0.906	0.8282	163.0
FOOD#STYLE_OPTIONS	0.6923	0.4091	0.5143	0.3462	26.0
LOCATION#GENERAL	1.0	0.4	0.5714	0.4	5.0
RESTAURANT#GENERAL	0.8472	0.8714	0.8592	0.7531	81.0
RESTAURANT#MISCELLANEOUS	0.7143	0.5882	0.6452	0.4762	21.0
RESTAURANT#PRICES	0.8333	0.7143	0.7692	0.625	16.0
SERVICE#GENERAL	0.8961	0.92	0.9079	0.8313	83.0
Micro-AVG	0.8675	0.8392	0.8531	0.7438	484.0
Macro-AVG	0.8335	0.7451	0.7714		484
