	precision	recall	f1	accuracy	support
AMBIENCE#GENERAL	0.931	0.6585	0.7714	0.6279	43.0
DRINKS#PRICES	1.0	0.3333	0.5	0.3333	3.0
DRINKS#QUALITY	1.0	0.75	0.8571	0.75	8.0
DRINKS#STYLE_OPTIONS	0.6667	0.5	0.5714	0.4	5.0
FOOD#PRICES	0.7778	0.5385	0.6364	0.4667	15.0
FOOD#QUALITY	0.8859	0.8919	0.8889	0.8	165.0
FOOD#STYLE_OPTIONS	1.0	0.4348	0.6061	0.4348	23.0
LOCATION#GENERAL	0.8	1.0	0.8889	0.8	5.0
RESTAURANT#GENERAL	0.6495	0.9	0.7545	0.6058	104.0
RESTAURANT#MISCELLANEOUS	0.3684	0.4667	0.4118	0.2593	27.0
RESTAURANT#PRICES	0.5294	0.6429	0.5807	0.4091	22.0
SERVICE#GENERAL	0.8642	0.9211	0.8917	0.8046	87.0
Micro-AVG	0.7934	0.8067	0.8	0.6667	507.0
Macro-AVG	0.7894	0.6698	0.6966		507
