	precision	recall	f1	accuracy	support
AMBIENCE#GENERAL	0.8507	0.8636	0.8571	0.75	76.0
DRINKS#PRICES	0.5	0.75	0.6	0.4286	7.0
DRINKS#QUALITY	0.8947	0.7727	0.8293	0.7083	24.0
DRINKS#STYLE_OPTIONS	0.8333	0.8333	0.8333	0.7143	14.0
FOOD#PRICES	0.5641	0.9565	0.7097	0.55	40.0
FOOD#QUALITY	0.8867	0.8754	0.881	0.7874	348.0
FOOD#STYLE_OPTIONS	0.6765	0.8364	0.748	0.5974	77.0
LOCATION#GENERAL	0.5789	0.8462	0.6875	0.5238	21.0
RESTAURANT#GENERAL	0.9291	0.831	0.8773	0.7815	151.0
RESTAURANT#MISCELLANEOUS	0.4194	0.3939	0.4062	0.2549	51.0
RESTAURANT#PRICES	0.8462	0.5238	0.6471	0.4783	23.0
SERVICE#GENERAL	0.8363	0.9226	0.8773	0.7814	183.0
Micro-AVG	0.8229	0.844	0.8333	0.7143	1015.0
Macro-AVG	0.7347	0.7838	0.7461		1015
