	precision	recall	f1	accuracy	support
AMBIENCE#GENERAL	0.8085	0.8837	0.8444	0.7308	52.0
DRINKS#PRICES	0.75	1.0	0.8571	0.75	4.0
DRINKS#QUALITY	1.0	0.5	0.6667	0.5	8.0
DRINKS#STYLE_OPTIONS	0.7143	0.8333	0.7692	0.625	8.0
FOOD#PRICES	0.8	0.75	0.7742	0.6316	19.0
FOOD#QUALITY	0.8874	0.8933	0.8903	0.8024	167.0
FOOD#STYLE_OPTIONS	0.6364	0.6364	0.6364	0.4667	30.0
LOCATION#GENERAL	1.0	0.6	0.75	0.6	5.0
RESTAURANT#GENERAL	0.8431	0.6143	0.7107	0.5513	78.0
RESTAURANT#MISCELLANEOUS	0.6	0.1765	0.2728	0.1579	19.0
RESTAURANT#PRICES	0.9167	0.7857	0.8462	0.7333	15.0
SERVICE#GENERAL	0.814	0.9333	0.8696	0.7692	91.0
Micro-AVG	0.8354	0.7925	0.8134	0.6855	496.0
Macro-AVG	0.8142	0.7172	0.7406		496
