	precision	recall	f1	accuracy	support
AMBIENCE#GENERAL	0.9565	0.5116	0.6667	0.5	44.0
DRINKS#PRICES	0.0	0.0	0.0	0.0	3.0
DRINKS#QUALITY	1.0	0.625	0.7692	0.625	8.0
DRINKS#STYLE_OPTIONS	1.0	0.6667	0.8	0.6667	6.0
FOOD#PRICES	1.0	0.1875	0.3158	0.1875	16.0
FOOD#QUALITY	0.9279	0.6867	0.7893	0.6519	158.0
FOOD#STYLE_OPTIONS	0.625	0.2273	0.3333	0.2	25.0
LOCATION#GENERAL	1.0	0.4	0.5714	0.4	5.0
RESTAURANT#GENERAL	0.8056	0.8286	0.8169	0.6905	84.0
RESTAURANT#MISCELLANEOUS	0.8571	0.3529	0.5	0.3333	18.0
RESTAURANT#PRICES	1.0	0.1429	0.25	0.1429	14.0
SERVICE#GENERAL	0.9815	0.7067	0.8217	0.6974	76.0
Micro-AVG	0.9038	0.6131	0.7306	0.5755	457.0
Macro-AVG	0.8461	0.4447	0.5529		457
