	precision	recall	f1	accuracy	support
AMBIENCE#GENERAL	0.9231	0.9091	0.916	0.8451	71.0
DRINKS#PRICES	0.0	0.0	0.0	0.0	5.0
DRINKS#QUALITY	0.8889	0.7273	0.8	0.6667	24.0
DRINKS#STYLE_OPTIONS	1.0	0.6667	0.8	0.6667	12.0
FOOD#PRICES	0.5862	0.7391	0.6538	0.4857	35.0
FOOD#QUALITY	0.8662	0.869	0.8676	0.7662	355.0
FOOD#STYLE_OPTIONS	0.8667	0.7091	0.78	0.6393	61.0
LOCATION#GENERAL	0.6667	0.7692	0.7143	0.5556	18.0
RESTAURANT#GENERAL	0.9688	0.6549	0.7815	0.6414	145.0
RESTAURANT#MISCELLANEOUS	0.3038	0.7273	0.4286	0.2727	88.0
RESTAURANT#PRICES	0.6364	0.6667	0.6512	0.4828	29.0
SERVICE#GENERAL	0.8439	0.9419	0.8902	0.8022	182.0
Micro-AVG	0.8081	0.8137	0.8109	0.682	1025.0
Macro-AVG	0.7126	0.6984	0.6903		1025
