	precision	recall	f1	accuracy	support
AMBIENCE#GENERAL	0.6667	0.7143	0.6897	0.5263	19.0
DRINKS#PRICES	0.6667	1.0	0.8	0.6667	3.0
DRINKS#QUALITY	0.25	0.6667	0.3636	0.2222	9.0
DRINKS#STYLE_OPTIONS	0.6667	0.6667	0.6667	0.5	4.0
FOOD#PRICES	0.6667	0.8	0.7273	0.5714	7.0
FOOD#QUALITY	0.8205	0.8	0.8101	0.6809	47.0
FOOD#STYLE_OPTIONS	1.0	0.1429	0.25	0.1429	7.0
LOCATION#GENERAL	0.5	0.5	0.5	0.3333	3.0
RESTAURANT#GENERAL	0.5333	0.7619	0.6275	0.4571	35.0
RESTAURANT#MISCELLANEOUS	0.3333	0.1667	0.2222	0.125	8.0
RESTAURANT#PRICES	0.4	0.4	0.4	0.25	8.0
SERVICE#GENERAL	0.85	0.7727	0.8095	0.68	25.0
Micro-AVG	0.6667	0.6923	0.6792	0.5143	175.0
Macro-AVG	0.6128	0.616	0.5722		175
