	precision	recall	f1	accuracy	support
AMBIENCE:NEGATIVE	0.7778	0.875	0.8235	0.7	20.0
AMBIENCE:NEUTRAL	1.0	1.0	1.0	1.0	1.0
AMBIENCE:POSITIVE	0.7907	0.8095	0.8	0.6667	51.0
FOOD:NEGATIVE	0.7174	0.8919	0.7952	0.66	100.0
FOOD:NEUTRAL	0.7333	0.7333	0.7333	0.5789	19.0
FOOD:POSITIVE	0.932	0.7559	0.8348	0.7164	134.0
PRICE:NEGATIVE	0.7692	0.9091	0.8333	0.7143	28.0
PRICE:NEUTRAL	1.0	1.0	1.0	1.0	2.0
PRICE:POSITIVE	0.8333	1.0	0.9091	0.8333	6.0
GENERAL-IMPRESSION:NEGATIVE	0.8085	0.9744	0.8837	0.7917	48.0
GENERAL-IMPRESSION:NEUTRAL	0.6	1.0	0.75	0.6	5.0
GENERAL-IMPRESSION:POSITIVE	0.7333	0.9167	0.8148	0.6875	64.0
SERVICE:NEGATIVE	0.7794	0.9298	0.848	0.7361	72.0
SERVICE:NEUTRAL	1.0	1.0	1.0	1.0	1.0
SERVICE:POSITIVE	0.8846	0.9324	0.9079	0.8313	83.0
Micro-AVG	0.8088	0.8688	0.8378	0.7208	634.0
Macro-AVG	0.824	0.9152	0.8622		634
