	precision	recall	f1	accuracy	support
AMBIENCE:NEGATIVE	0.8333	0.7895	0.8108	0.6818	44.0
AMBIENCE:NEUTRAL	0.0	0.0	0.0	0.0	2.0
AMBIENCE:POSITIVE	0.9125	0.8111	0.8588	0.7526	97.0
FOOD:NEGATIVE	0.8208	0.7553	0.7867	0.6484	219.0
FOOD:NEUTRAL	0.8966	0.65	0.7536	0.6047	43.0
FOOD:POSITIVE	0.8764	0.8298	0.8525	0.7429	315.0
PRICE:NEGATIVE	0.8889	0.8571	0.8727	0.7742	62.0
PRICE:NEUTRAL	0.75	0.3333	0.4615	0.3	10.0
PRICE:POSITIVE	0.65	0.9286	0.7647	0.619	21.0
GENERAL-IMPRESSION:NEGATIVE	0.8522	0.9159	0.8829	0.7903	124.0
GENERAL-IMPRESSION:NEUTRAL	0.875	0.7	0.7778	0.6364	11.0
GENERAL-IMPRESSION:POSITIVE	0.7786	0.8571	0.816	0.6892	148.0
SERVICE:NEGATIVE	0.8784	0.8667	0.8725	0.7738	168.0
SERVICE:NEUTRAL	1.0	0.6667	0.8	0.6667	3.0
SERVICE:POSITIVE	0.9441	0.9102	0.9268	0.8636	176.0
Micro-AVG	0.8632	0.8314	0.847	0.7346	1443.0
Macro-AVG	0.7971	0.7248	0.7492		1443
