	precision	recall	f1	accuracy	support
AMBIENCE:NEGATIVE	0.4333	0.8125	0.5652	0.3939	33.0
AMBIENCE:NEUTRAL	0.0	0.0	0.0	0.0	1.0
AMBIENCE:POSITIVE	0.6735	0.7857	0.7253	0.569	58.0
FOOD:NEGATIVE	0.6615	0.5811	0.6187	0.4479	96.0
FOOD:NEUTRAL	0.5	0.5333	0.5161	0.3478	23.0
FOOD:POSITIVE	0.8381	0.6929	0.7586	0.6111	144.0
PRICE:NEGATIVE	0.6522	0.6818	0.6667	0.5	30.0
PRICE:NEUTRAL	1.0	0.5	0.6667	0.5	2.0
PRICE:POSITIVE	0.625	1.0	0.7692	0.625	8.0
GENERAL-IMPRESSION:NEGATIVE	0.6471	0.8462	0.7334	0.5789	57.0
GENERAL-IMPRESSION:NEUTRAL	1.0	0.6667	0.8	0.6667	3.0
GENERAL-IMPRESSION:POSITIVE	0.75	0.8125	0.78	0.6393	61.0
SERVICE:NEGATIVE	0.4948	0.8421	0.6233	0.4528	106.0
SERVICE:NEUTRAL	0.0	0.0	0.0	0.0	1.0
SERVICE:POSITIVE	0.7792	0.8108	0.7947	0.6593	91.0
Micro-AVG	0.6736	0.7376	0.7041	0.5434	714.0
Macro-AVG	0.6036	0.6377	0.6012		714
