	precision	recall	f1	accuracy	support
AMBIENCE:NEGATIVE	0.6	0.75	0.6667	0.5	24.0
AMBIENCE:NEUTRAL	0.5	1.0	0.6667	0.5	2.0
AMBIENCE:POSITIVE	0.6552	0.9048	0.76	0.6129	62.0
FOOD:NEGATIVE	0.7442	0.8649	0.8	0.6667	96.0
FOOD:NEUTRAL	0.9091	0.6667	0.7692	0.625	16.0
FOOD:POSITIVE	0.8624	0.7402	0.7966	0.662	142.0
PRICE:NEGATIVE	0.7826	0.8182	0.8	0.6667	27.0
PRICE:NEUTRAL	0.0	0.0	0.0	0.0	2.0
PRICE:POSITIVE	0.7143	1.0	0.8333	0.7143	7.0
GENERAL-IMPRESSION:NEGATIVE	0.8462	0.8462	0.8462	0.7333	45.0
GENERAL-IMPRESSION:NEUTRAL	1.0	1.0	1.0	1.0	3.0
GENERAL-IMPRESSION:POSITIVE	0.9762	0.8542	0.9111	0.8367	49.0
SERVICE:NEGATIVE	0.746	0.8246	0.7833	0.6438	73.0
SERVICE:NEUTRAL	0.0	0.0	0.0	0.0	2.0
SERVICE:POSITIVE	0.8857	0.8378	0.8611	0.7561	82.0
Micro-AVG	0.8015	0.8137	0.8075	0.6772	632.0
Macro-AVG	0.6815	0.7405	0.6996		632
