	precision	recall	f1	accuracy	support
AMBIENCE#GENERAL:POSITIVE	0.2336	0.7576	0.3571	0.2174	115.0
AMBIENCE#GENERAL:NEUTRAL	0.2222	0.6667	0.3333	0.2	10.0
AMBIENCE#GENERAL:NEGATIVE	1.0	0.5714	0.7272	0.5714	7.0
DRINKS#PRICES:POSITIVE	0.0	0.0	0.0	0.0	2.0
DRINKS#PRICES:NEUTRAL	0.0	0.0	0.0	0.0	1.0
DRINKS#PRICES:NEGATIVE	0.0	0.0	0.0	0.0	1.0
DRINKS#QUALITY:POSITIVE	0.6667	0.8571	0.75	0.6	10.0
DRINKS#QUALITY:NEUTRAL	0	0	0	0	0
DRINKS#QUALITY:NEGATIVE	0.0	0.0	0.0	0.0	1.0
DRINKS#STYLE_OPTIONS:POSITIVE	1.0	0.8	0.8889	0.8	5.0
DRINKS#STYLE_OPTIONS:NEUTRAL	0	0	0	0	0
DRINKS#STYLE_OPTIONS:NEGATIVE	1.0	1.0	1.0	1.0	1.0
FOOD#PRICES:POSITIVE	0.8	0.5714	0.6666	0.5	8.0
FOOD#PRICES:NEUTRAL	0.0	0.0	0.0	0.0	12.0
FOOD#PRICES:NEGATIVE	1.0	0.7778	0.875	0.7778	9.0
FOOD#QUALITY:POSITIVE	0.6591	0.7909	0.719	0.5613	155.0
FOOD#QUALITY:NEUTRAL	0.5714	0.8	0.6666	0.5	8.0
FOOD#QUALITY:NEGATIVE	0.6286	0.6286	0.6286	0.4583	48.0
FOOD#STYLE_OPTIONS:POSITIVE	0.7778	0.5385	0.6364	0.4667	15.0
FOOD#STYLE_OPTIONS:NEUTRAL	0.0	0.0	0.0	0.0	5.0
FOOD#STYLE_OPTIONS:NEGATIVE	0.2778	0.7143	0.4	0.25	20.0
LOCATION#GENERAL:POSITIVE	0.125	0.25	0.1667	0.0909	11.0
LOCATION#GENERAL:NEUTRAL	0.0	0.0	0.0	0.0	24.0
LOCATION#GENERAL:NEGATIVE	0	0	0	0	0
RESTAURANT#GENERAL:POSITIVE	0.199	0.7885	0.3178	0.1889	217.0
RESTAURANT#GENERAL:NEUTRAL	0.5	1.0	0.6667	0.5	2.0
RESTAURANT#GENERAL:NEGATIVE	0.52	0.7647	0.619	0.4483	29.0
RESTAURANT#MISCELLANEOUS:POSITIVE	0.2143	0.6	0.3158	0.1875	32.0
RESTAURANT#MISCELLANEOUS:NEUTRAL	0.0	0.0	0.0	0.0	5.0
RESTAURANT#MISCELLANEOUS:NEGATIVE	0.0	0.0	0.0	0.0	5.0
RESTAURANT#PRICES:POSITIVE	0.5	0.8333	0.625	0.4545	11.0
RESTAURANT#PRICES:NEUTRAL	0.0	0.0	0.0	0.0	15.0
RESTAURANT#PRICES:NEGATIVE	0.3077	0.5714	0.4	0.25	16.0
SERVICE#GENERAL:POSITIVE	0.8788	0.8529	0.8657	0.7632	38.0
SERVICE#GENERAL:NEUTRAL	0.3333	0.5	0.4	0.25	4.0
SERVICE#GENERAL:NEGATIVE	0.9355	0.7436	0.8286	0.7073	41.0
Micro-AVG	0.4042	0.7179	0.5172	0.3488	883.0
Macro-AVG	0.3709	0.455	0.3848		883
