	precision	recall	f1	accuracy	support
AMBIENCE#GENERAL	0.6889	0.7209	0.7045	0.5439	57.0
DRINKS#PRICES	0.5	0.6667	0.5714	0.4	5.0
DRINKS#QUALITY	0.5556	0.625	0.5882	0.4167	12.0
DRINKS#STYLE_OPTIONS	0.5	0.6667	0.5714	0.4	10.0
FOOD#PRICES	0.6923	0.5625	0.6207	0.45	20.0
FOOD#QUALITY	0.4837	0.6933	0.5699	0.3985	261.0
FOOD#STYLE_OPTIONS	0.6667	0.2727	0.3871	0.24	25.0
LOCATION#GENERAL	1.0	0.4	0.5714	0.4	5.0
RESTAURANT#GENERAL	0.8485	0.8	0.8235	0.7	80.0
RESTAURANT#MISCELLANEOUS	0.5	0.3529	0.4138	0.2609	23.0
RESTAURANT#PRICES	0.8571	0.4286	0.5714	0.4	15.0
SERVICE#GENERAL	0.8657	0.7733	0.8169	0.6905	84.0
Micro-AVG	0.6324	0.6737	0.6524	0.4841	597.0
Macro-AVG	0.6799	0.5802	0.6008		597
