	precision	recall	f1	accuracy	support
AMBIENCE#GENERAL	0.5938	0.7308	0.6552	0.4872	39.0
DRINKS#PRICES	0.5	1.0	0.6667	0.5	4.0
DRINKS#QUALITY	1.0	0.6	0.75	0.6	5.0
DRINKS#STYLE_OPTIONS	1.0	0.75	0.8571	0.75	4.0
FOOD#PRICES	0.8571	0.6	0.7059	0.5455	11.0
FOOD#QUALITY	0.8841	0.7262	0.7974	0.663	92.0
FOOD#STYLE_OPTIONS	0.625	0.7692	0.6896	0.5263	19.0
LOCATION#GENERAL	0.6667	0.6667	0.6667	0.5	4.0
RESTAURANT#GENERAL	0.9062	0.7073	0.7945	0.6591	44.0
RESTAURANT#MISCELLANEOUS	0.6667	0.4	0.5	0.3333	12.0
RESTAURANT#PRICES	0.8	0.8889	0.8421	0.7273	11.0
SERVICE#GENERAL	0.8261	0.8636	0.8444	0.7308	52.0
Micro-AVG	0.8009	0.7371	0.7677	0.6229	297.0
Macro-AVG	0.7771	0.7252	0.7308		297
