	precision	recall	f1	accuracy	support
AMBIENCE#GENERAL:POSITIVE	0.8667	0.65	0.7429	0.5909	22.0
AMBIENCE#GENERAL:NEUTRAL	0.25	0.5	0.3333	0.2	5.0
AMBIENCE#GENERAL:NEGATIVE	0.6667	0.5	0.5714	0.4	5.0
DRINKS#PRICES:POSITIVE	1.0	1.0	1.0	1.0	1.0
DRINKS#PRICES:NEUTRAL	0	0	0	0	0
DRINKS#PRICES:NEGATIVE	1.0	1.0	1.0	1.0	1.0
DRINKS#QUALITY:POSITIVE	0.75	0.75	0.75	0.6	5.0
DRINKS#QUALITY:NEUTRAL	0	0	0	0	0
DRINKS#QUALITY:NEGATIVE	1.0	1.0	1.0	1.0	1.0
DRINKS#STYLE_OPTIONS:POSITIVE	1.0	0.6667	0.8	0.6667	3.0
DRINKS#STYLE_OPTIONS:NEUTRAL	0	0	0	0	0
DRINKS#STYLE_OPTIONS:NEGATIVE	1.0	1.0	1.0	1.0	1.0
FOOD#PRICES:POSITIVE	1.0	0.6	0.75	0.6	5.0
FOOD#PRICES:NEUTRAL	0	0	0	0	0
FOOD#PRICES:NEGATIVE	1.0	0.4	0.5714	0.4	5.0
FOOD#QUALITY:POSITIVE	0.8947	0.8226	0.8571	0.75	68.0
FOOD#QUALITY:NEUTRAL	0.4	0.6667	0.5	0.3333	6.0
FOOD#QUALITY:NEGATIVE	0.8824	0.7895	0.8333	0.7143	21.0
FOOD#STYLE_OPTIONS:POSITIVE	0.5714	0.5	0.5333	0.3636	11.0
FOOD#STYLE_OPTIONS:NEUTRAL	0.0	0.0	0.0	0.0	3.0
FOOD#STYLE_OPTIONS:NEGATIVE	0.6667	0.5	0.5714	0.4	5.0
LOCATION#GENERAL:POSITIVE	1.0	1.0	1.0	1.0	2.0
LOCATION#GENERAL:NEUTRAL	0.0	0.0	0.0	0.0	1.0
LOCATION#GENERAL:NEGATIVE	0	0	0	0	0
RESTAURANT#GENERAL:POSITIVE	0.8696	0.6667	0.7547	0.6061	33.0
RESTAURANT#GENERAL:NEUTRAL	0.5	1.0	0.6667	0.5	2.0
RESTAURANT#GENERAL:NEGATIVE	0.875	0.7	0.7778	0.6364	11.0
RESTAURANT#MISCELLANEOUS:POSITIVE	1.0	0.5	0.6667	0.5	6.0
RESTAURANT#MISCELLANEOUS:NEUTRAL	0.0	0.0	0.0	0.0	3.0
RESTAURANT#MISCELLANEOUS:NEGATIVE	0.0	0.0	0.0	0.0	3.0
RESTAURANT#PRICES:POSITIVE	1.0	1.0	1.0	1.0	4.0
RESTAURANT#PRICES:NEUTRAL	1.0	1.0	1.0	1.0	1.0
RESTAURANT#PRICES:NEGATIVE	0.4	0.5	0.4444	0.2857	7.0
SERVICE#GENERAL:POSITIVE	0.8182	0.9	0.8571	0.75	24.0
SERVICE#GENERAL:NEUTRAL	0.25	1.0	0.4	0.25	4.0
SERVICE#GENERAL:NEGATIVE	0.8636	0.8261	0.8444	0.7308	26.0
Micro-AVG	0.8053	0.7251	0.7631	0.6169	295.0
Macro-AVG	0.5979	0.5677	0.5618		295
