	precision	recall	f1	accuracy	support
AMBIENCE#GENERAL	0.7593	0.9535	0.8454	0.7321	56.0
DRINKS#PRICES	1.0	1.0	1.0	1.0	3.0
DRINKS#QUALITY	1.0	0.75	0.8571	0.75	8.0
DRINKS#STYLE_OPTIONS	1.0	0.8333	0.9091	0.8333	6.0
FOOD#PRICES	0.9231	0.75	0.8276	0.7059	17.0
FOOD#QUALITY	0.898	0.88	0.8889	0.8	165.0
FOOD#STYLE_OPTIONS	0.7647	0.5909	0.6667	0.5	26.0
LOCATION#GENERAL	1.0	0.8	0.8889	0.8	5.0
RESTAURANT#GENERAL	0.8689	0.7571	0.8092	0.6795	78.0
RESTAURANT#MISCELLANEOUS	0.5714	0.2353	0.3333	0.2	20.0
RESTAURANT#PRICES	0.9167	0.7857	0.8462	0.7333	15.0
SERVICE#GENERAL	0.9189	0.9067	0.9128	0.8395	81.0
Micro-AVG	0.8734	0.8205	0.8461	0.7333	480.0
Macro-AVG	0.8851	0.7702	0.8154		480
