	precision	recall	f1	accuracy	support
AMBIENCE#GENERAL:POSITIVE	0.7586	0.7097	0.7333	0.5789	38.0
AMBIENCE#GENERAL:NEUTRAL	0.0	0.0	0.0	0.0	2.0
AMBIENCE#GENERAL:NEGATIVE	1.0	0.4286	0.6	0.4286	7.0
DRINKS#PRICES:POSITIVE	1.0	0.6667	0.8	0.6667	3.0
DRINKS#PRICES:NEUTRAL	0	0	0	0	0
DRINKS#PRICES:NEGATIVE	1.0	1.0	1.0	1.0	2.0
DRINKS#QUALITY:POSITIVE	0.8571	0.8571	0.8571	0.75	8.0
DRINKS#QUALITY:NEUTRAL	0	0	0	0	0
DRINKS#QUALITY:NEGATIVE	0.5	1.0	0.6667	0.5	2.0
DRINKS#STYLE_OPTIONS:POSITIVE	0.6	0.6	0.6	0.4286	7.0
DRINKS#STYLE_OPTIONS:NEUTRAL	0	0	0	0	0
DRINKS#STYLE_OPTIONS:NEGATIVE	0	0	0	0	0
FOOD#PRICES:POSITIVE	0.0	0.0	0.0	0.0	7.0
FOOD#PRICES:NEUTRAL	0.0	0.0	0.0	0.0	1.0
FOOD#PRICES:NEGATIVE	0.8	0.5714	0.6667	0.5	8.0
FOOD#QUALITY:POSITIVE	0.9167	0.8462	0.88	0.7857	112.0
FOOD#QUALITY:NEUTRAL	1.0	0.8	0.8889	0.8	5.0
FOOD#QUALITY:NEGATIVE	0.9	0.8182	0.8571	0.75	36.0
FOOD#STYLE_OPTIONS:POSITIVE	0.4545	0.7143	0.5556	0.3846	26.0
FOOD#STYLE_OPTIONS:NEUTRAL	0.0	0.0	0.0	0.0	1.0
FOOD#STYLE_OPTIONS:NEGATIVE	0.3636	0.5714	0.4444	0.2857	14.0
LOCATION#GENERAL:POSITIVE	0.75	1.0	0.8571	0.75	4.0
LOCATION#GENERAL:NEUTRAL	0.0	0.0	0.0	0.0	1.0
LOCATION#GENERAL:NEGATIVE	0.25	1.0	0.4	0.25	4.0
RESTAURANT#GENERAL:POSITIVE	0.7833	0.9038	0.8393	0.7231	65.0
RESTAURANT#GENERAL:NEUTRAL	1.0	0.5	0.6667	0.5	2.0
RESTAURANT#GENERAL:NEGATIVE	0.5	0.7647	0.6047	0.4333	30.0
RESTAURANT#MISCELLANEOUS:POSITIVE	0.0	0.0	0.0	0.0	10.0
RESTAURANT#MISCELLANEOUS:NEUTRAL	0.0	0.0	0.0	0.0	2.0
RESTAURANT#MISCELLANEOUS:NEGATIVE	0.0	0.0	0.0	0.0	7.0
RESTAURANT#PRICES:POSITIVE	0.4167	1.0	0.5882	0.4167	12.0
RESTAURANT#PRICES:NEUTRAL	0.0	0.0	0.0	0.0	2.0
RESTAURANT#PRICES:NEGATIVE	0.5	0.5714	0.5333	0.3636	11.0
SERVICE#GENERAL:POSITIVE	0.9688	0.8857	0.9254	0.8611	36.0
SERVICE#GENERAL:NEUTRAL	1.0	0.5	0.6667	0.5	2.0
SERVICE#GENERAL:NEGATIVE	0.8182	0.7105	0.7606	0.6136	44.0
Micro-AVG	0.7649	0.7428	0.7537	0.6047	511.0
Macro-AVG	0.476	0.4839	0.4553		511
