	precision	recall	f1	accuracy	support
AMBIENCE#GENERAL	0.6809	0.7805	0.7273	0.5714	56.0
DRINKS#PRICES	1.0	0.3333	0.5	0.3333	3.0
DRINKS#QUALITY	1.0	1.0	1.0	1.0	7.0
DRINKS#STYLE_OPTIONS	1.0	1.0	1.0	1.0	4.0
FOOD#PRICES	0.8	0.7059	0.75	0.6	20.0
FOOD#QUALITY	0.8264	0.7576	0.7905	0.6536	153.0
FOOD#STYLE_OPTIONS	0.75	0.5714	0.6486	0.48	25.0
LOCATION#GENERAL	1.0	0.5	0.6667	0.5	4.0
RESTAURANT#GENERAL	0.8475	0.7143	0.7752	0.6329	79.0
RESTAURANT#MISCELLANEOUS	0.625	0.3333	0.4348	0.2778	18.0
RESTAURANT#PRICES	0.75	0.5	0.6	0.4286	14.0
SERVICE#GENERAL	0.8571	0.8219	0.8391	0.7229	83.0
Micro-AVG	0.8128	0.7293	0.7688	0.6245	466.0
Macro-AVG	0.8447	0.6682	0.7277		466
