	precision	recall	f1	accuracy	support
AMBIENCE#GENERAL	0.6889	0.7209	0.7045	0.5439	57.0
DRINKS#PRICES	1.0	1.0	1.0	1.0	3.0
DRINKS#QUALITY	0.8571	0.75	0.8	0.6667	9.0
DRINKS#STYLE_OPTIONS	0.8333	0.8333	0.8333	0.7143	7.0
FOOD#PRICES	0.7333	0.6875	0.7097	0.55	20.0
FOOD#QUALITY	0.8696	0.8	0.8333	0.7143	168.0
FOOD#STYLE_OPTIONS	0.7778	0.6364	0.7	0.5385	26.0
LOCATION#GENERAL	1.0	0.4	0.5714	0.4	5.0
RESTAURANT#GENERAL	0.8846	0.6571	0.7541	0.6053	76.0
RESTAURANT#MISCELLANEOUS	0.5556	0.2941	0.3846	0.2381	21.0
RESTAURANT#PRICES	0.8462	0.7857	0.8148	0.6875	16.0
SERVICE#GENERAL	0.9167	0.88	0.898	0.8148	81.0
Micro-AVG	0.8421	0.7459	0.7911	0.6544	489.0
Macro-AVG	0.8303	0.7037	0.7503		489
