	precision	recall	f1	accuracy	support
AMBIENCE#GENERAL	0.9024	0.8605	0.881	0.7872	47.0
DRINKS#PRICES	1.0	1.0	1.0	1.0	3.0
DRINKS#QUALITY	0.8889	1.0	0.9412	0.8889	9.0
DRINKS#STYLE_OPTIONS	1.0	0.8333	0.9091	0.8333	6.0
FOOD#PRICES	1.0	0.8125	0.8966	0.8125	16.0
FOOD#QUALITY	0.9496	0.88	0.9135	0.8408	157.0
FOOD#STYLE_OPTIONS	0.6875	0.5	0.5789	0.4074	27.0
LOCATION#GENERAL	1.0	0.4	0.5714	0.4	5.0
RESTAURANT#GENERAL	0.8955	0.8571	0.8759	0.7792	77.0
RESTAURANT#MISCELLANEOUS	0.7143	0.5882	0.6451	0.4762	21.0
RESTAURANT#PRICES	0.9333	1.0	0.9655	0.9333	15.0
SERVICE#GENERAL	0.9211	0.9333	0.9272	0.8642	81.0
Micro-AVG	0.9125	0.8508	0.8806	0.7866	464.0
Macro-AVG	0.9077	0.8054	0.8421		464
