	precision	recall	f1	accuracy	support
AMBIENCE#GENERAL:POSITIVE	0.7632	0.8056	0.7838	0.6444	45.0
AMBIENCE#GENERAL:NEUTRAL	0.0	0.0	0.0	0.0	5.0
AMBIENCE#GENERAL:NEGATIVE	0.8	0.5714	0.6666	0.5	8.0
DRINKS#PRICES:POSITIVE	0.6667	1.0	0.8	0.6667	3.0
DRINKS#PRICES:NEUTRAL	0	0	0	0	0
DRINKS#PRICES:NEGATIVE	1.0	1.0	1.0	1.0	1.0
DRINKS#QUALITY:POSITIVE	0.75	0.5	0.6	0.4286	7.0
DRINKS#QUALITY:NEUTRAL	0.0	0.0	0.0	0.0	1.0
DRINKS#QUALITY:NEGATIVE	0.0	0.0	0.0	0.0	2.0
DRINKS#STYLE_OPTIONS:POSITIVE	0.8333	0.8333	0.8333	0.7143	7.0
DRINKS#STYLE_OPTIONS:NEUTRAL	0.0	0.0	0.0	0.0	1.0
DRINKS#STYLE_OPTIONS:NEGATIVE	1.0	1.0	1.0	1.0	1.0
FOOD#PRICES:POSITIVE	0.6	1.0	0.75	0.6	10.0
FOOD#PRICES:NEUTRAL	1.0	1.0	1.0	1.0	1.0
FOOD#PRICES:NEGATIVE	0.6	0.75	0.6667	0.5	12.0
FOOD#QUALITY:POSITIVE	0.901	0.8585	0.8792	0.7845	116.0
FOOD#QUALITY:NEUTRAL	0.4	1.0	0.5714	0.4	10.0
FOOD#QUALITY:NEGATIVE	0.8889	0.8205	0.8533	0.7442	43.0
FOOD#STYLE_OPTIONS:POSITIVE	0.5789	0.7333	0.647	0.4783	23.0
FOOD#STYLE_OPTIONS:NEUTRAL	0.0	0.0	0.0	0.0	3.0
FOOD#STYLE_OPTIONS:NEGATIVE	0.5	0.875	0.6364	0.4667	15.0
LOCATION#GENERAL:POSITIVE	1.0	0.5	0.6667	0.5	4.0
LOCATION#GENERAL:NEUTRAL	0.0	0.0	0.0	0.0	1.0
LOCATION#GENERAL:NEGATIVE	0.0	0.0	0.0	0.0	1.0
RESTAURANT#GENERAL:POSITIVE	0.9744	0.717	0.8261	0.7037	54.0
RESTAURANT#GENERAL:NEUTRAL	0.0	0.0	0.0	0.0	1.0
RESTAURANT#GENERAL:NEGATIVE	0.9167	0.6875	0.7857	0.6471	17.0
RESTAURANT#MISCELLANEOUS:POSITIVE	0.5	0.6	0.5455	0.375	16.0
RESTAURANT#MISCELLANEOUS:NEUTRAL	0.0	0.0	0.0	0.0	3.0
RESTAURANT#MISCELLANEOUS:NEGATIVE	0.5	0.2	0.2857	0.1667	6.0
RESTAURANT#PRICES:POSITIVE	0.5	0.3333	0.4	0.25	8.0
RESTAURANT#PRICES:NEUTRAL	0.0	0.0	0.0	0.0	1.0
RESTAURANT#PRICES:NEGATIVE	0.8333	0.8333	0.8333	0.7143	7.0
SERVICE#GENERAL:POSITIVE	0.9143	0.9697	0.9412	0.8889	36.0
SERVICE#GENERAL:NEUTRAL	1.0	0.5	0.6667	0.5	2.0
SERVICE#GENERAL:NEGATIVE	0.8974	0.9722	0.9333	0.875	40.0
Micro-AVG	0.8038	0.7832	0.7934	0.6575	511.0
Macro-AVG	0.5366	0.5295	0.5159		511
