	precision	recall	f1	accuracy	support
AMBIENCE#GENERAL	0.8657	0.8788	0.8722	0.7733	75.0
DRINKS#PRICES	1.0	0.75	0.8571	0.75	4.0
DRINKS#QUALITY	0.85	0.7727	0.8095	0.68	25.0
DRINKS#STYLE_OPTIONS	0.9	0.75	0.8182	0.6923	13.0
FOOD#PRICES	0.7619	0.6957	0.7273	0.5714	28.0
FOOD#QUALITY	0.9228	0.7636	0.8357	0.7177	333.0
FOOD#STYLE_OPTIONS	0.7018	0.7273	0.7143	0.5556	72.0
LOCATION#GENERAL	0.5	0.6154	0.5517	0.381	21.0
RESTAURANT#GENERAL	0.8477	0.9014	0.8737	0.7758	165.0
RESTAURANT#MISCELLANEOUS	0.45	0.2727	0.3396	0.2045	44.0
RESTAURANT#PRICES	0.75	0.8571	0.8	0.6667	27.0
SERVICE#GENERAL	0.8395	0.8774	0.858	0.7514	181.0
Micro-AVG	0.8407	0.7928	0.8161	0.6893	988.0
Macro-AVG	0.7824	0.7385	0.7548		988
