	precision	recall	f1	accuracy	support
AMBIENCE#GENERAL	0.85	0.6538	0.7391	0.5862	29.0
DRINKS#PRICES	1.0	1.0	1.0	1.0	2.0
DRINKS#QUALITY	1.0	0.4	0.5714	0.4	5.0
DRINKS#STYLE_OPTIONS	1.0	0.75	0.8571	0.75	4.0
FOOD#PRICES	1.0	0.3	0.4615	0.3	10.0
FOOD#QUALITY	0.9365	0.7024	0.8027	0.6705	88.0
FOOD#STYLE_OPTIONS	0.4167	0.3846	0.4	0.25	20.0
LOCATION#GENERAL	0.6667	0.6667	0.6667	0.5	4.0
RESTAURANT#GENERAL	0.6939	0.8293	0.7556	0.6071	56.0
RESTAURANT#MISCELLANEOUS	0.0	0.0	0.0	0.0	10.0
RESTAURANT#PRICES	0.5833	0.7778	0.6667	0.5	14.0
SERVICE#GENERAL	0.9737	0.8409	0.9024	0.8222	45.0
Micro-AVG	0.8261	0.6813	0.7467	0.5958	287.0
Macro-AVG	0.7601	0.6088	0.6519		287
