	precision	recall	f1	accuracy	support
AMBIENCE#GENERAL	0.9655	0.6512	0.7778	0.6364	44.0
DRINKS#PRICES	1.0	1.0	1.0	1.0	3.0
DRINKS#QUALITY	0.8333	0.625	0.7143	0.5556	9.0
DRINKS#STYLE_OPTIONS	0.8	0.6667	0.7273	0.5714	7.0
FOOD#PRICES	0.9	0.5625	0.6923	0.5294	17.0
FOOD#QUALITY	0.9015	0.7933	0.8439	0.7301	163.0
FOOD#STYLE_OPTIONS	0.6429	0.4091	0.5	0.3333	27.0
LOCATION#GENERAL	0.6667	0.4	0.5	0.3333	6.0
RESTAURANT#GENERAL	0.8169	0.8286	0.8227	0.6988	83.0
RESTAURANT#MISCELLANEOUS	0.4091	0.5294	0.4615	0.3	30.0
RESTAURANT#PRICES	0.6842	0.9286	0.7879	0.65	20.0
SERVICE#GENERAL	0.9385	0.8133	0.8714	0.7722	79.0
Micro-AVG	0.8443	0.7459	0.7921	0.6557	488.0
Macro-AVG	0.7965	0.684	0.7249		488
