	precision	recall	f1	accuracy	support
AMBIENCE#GENERAL	0.9722	0.814	0.8861	0.7955	44.0
DRINKS#PRICES	1.0	1.0	1.0	1.0	3.0
DRINKS#QUALITY	1.0	0.375	0.5455	0.375	8.0
DRINKS#STYLE_OPTIONS	1.0	0.8333	0.9091	0.8333	6.0
FOOD#PRICES	0.9091	0.625	0.7407	0.5882	17.0
FOOD#QUALITY	0.7305	0.8133	0.7697	0.6256	195.0
FOOD#STYLE_OPTIONS	0.6667	0.3636	0.4706	0.3077	26.0
LOCATION#GENERAL	1.0	0.4	0.5714	0.4	5.0
RESTAURANT#GENERAL	0.7826	0.7714	0.777	0.6353	85.0
RESTAURANT#MISCELLANEOUS	0.0	0.0	0.0	0.0	17.0
RESTAURANT#PRICES	0.7692	0.7143	0.7407	0.5882	17.0
SERVICE#GENERAL	0.9306	0.8933	0.9116	0.8375	80.0
Micro-AVG	0.8117	0.7436	0.7762	0.6342	503.0
Macro-AVG	0.8134	0.6336	0.6935		503
