	precision	recall	f1	accuracy	support
AMBIENCE#GENERAL	1.0	0.0769	0.1428	0.0769	26.0
DRINKS#PRICES	1.0	0.5	0.6667	0.5	2.0
DRINKS#QUALITY	0.0	0.0	0.0	0.0	5.0
DRINKS#STYLE_OPTIONS	0.75	0.75	0.75	0.6	5.0
FOOD#PRICES	0.875	0.7	0.7778	0.6364	11.0
FOOD#QUALITY	0.875	0.3333	0.4827	0.3182	88.0
FOOD#STYLE_OPTIONS	0.4211	0.6154	0.5	0.3333	24.0
LOCATION#GENERAL	0.1667	1.0	0.2858	0.1667	18.0
RESTAURANT#GENERAL	0.7317	0.7317	0.7317	0.5769	52.0
RESTAURANT#MISCELLANEOUS	0.0	0.0	0.0	0.0	10.0
RESTAURANT#PRICES	0.0	0.0	0.0	0.0	9.0
SERVICE#GENERAL	0.8293	0.7727	0.8	0.6667	51.0
Micro-AVG	0.6988	0.4622	0.5564	0.3854	301.0
Macro-AVG	0.5541	0.4567	0.4281		301
