	precision	recall	f1	accuracy	support
AMBIENCE#GENERAL	0.72	0.6923	0.7059	0.5455	33.0
DRINKS#PRICES	1.0	1.0	1.0	1.0	2.0
DRINKS#QUALITY	0.5	0.8	0.6154	0.4444	9.0
DRINKS#STYLE_OPTIONS	0.6667	0.5	0.5714	0.4	5.0
FOOD#PRICES	0.7778	0.7	0.7368	0.5833	12.0
FOOD#QUALITY	0.8444	0.9048	0.8736	0.7755	98.0
FOOD#STYLE_OPTIONS	0.6364	0.5385	0.5833	0.4118	17.0
LOCATION#GENERAL	0.5	0.6667	0.5714	0.4	5.0
RESTAURANT#GENERAL	0.8158	0.7561	0.7848	0.6458	48.0
RESTAURANT#MISCELLANEOUS	0.625	0.5	0.5556	0.3846	13.0
RESTAURANT#PRICES	0.8	0.8889	0.8421	0.7273	11.0
SERVICE#GENERAL	0.7451	0.8636	0.8	0.6667	57.0
Micro-AVG	0.7722	0.7968	0.7843	0.6452	310.0
Macro-AVG	0.7193	0.7342	0.72		310
