	precision	recall	f1	accuracy	support
AMBIENCE#GENERAL	0.8158	0.7209	0.7654	0.62	50.0
DRINKS#PRICES	1.0	0.3333	0.5	0.3333	3.0
DRINKS#QUALITY	0.8333	0.625	0.7143	0.5556	9.0
DRINKS#STYLE_OPTIONS	1.0	0.6667	0.8	0.6667	6.0
FOOD#PRICES	0.6364	0.4375	0.5185	0.35	20.0
FOOD#QUALITY	0.8548	0.7067	0.7737	0.631	168.0
FOOD#STYLE_OPTIONS	0.7778	0.3182	0.4516	0.2917	24.0
LOCATION#GENERAL	1.0	0.4	0.5714	0.4	5.0
RESTAURANT#GENERAL	0.8226	0.7286	0.7728	0.6296	81.0
RESTAURANT#MISCELLANEOUS	0.0	0.0	0.0	0.0	17.0
RESTAURANT#PRICES	0.875	0.5	0.6364	0.4667	15.0
SERVICE#GENERAL	0.8267	0.8267	0.8267	0.7045	88.0
Micro-AVG	0.8324	0.6597	0.7361	0.5823	486.0
Macro-AVG	0.7869	0.522	0.6109		486
