	precision	recall	f1	accuracy	support
AMBIENCE#GENERAL:POSITIVE	0.8485	0.918	0.8819	0.7887	71.0
AMBIENCE#GENERAL:NEUTRAL	1.0	0.3333	0.5	0.3333	3.0
AMBIENCE#GENERAL:NEGATIVE	0.3333	1.0	0.5	0.3333	6.0
DRINKS#PRICES:POSITIVE	0	0	0	0	0
DRINKS#PRICES:NEUTRAL	0	0	0	0	0
DRINKS#PRICES:NEGATIVE	0.75	0.75	0.75	0.6	5.0
DRINKS#QUALITY:POSITIVE	1.0	0.7143	0.8333	0.7143	21.0
DRINKS#QUALITY:NEUTRAL	0	0	0	0	0
DRINKS#QUALITY:NEGATIVE	1.0	1.0	1.0	1.0	1.0
DRINKS#STYLE_OPTIONS:POSITIVE	0.9167	1.0	0.9565	0.9167	12.0
DRINKS#STYLE_OPTIONS:NEUTRAL	0	0	0	0	0
DRINKS#STYLE_OPTIONS:NEGATIVE	1.0	1.0	1.0	1.0	1.0
FOOD#PRICES:POSITIVE	1.0	1.0	1.0	1.0	6.0
FOOD#PRICES:NEUTRAL	0.0	0.0	0.0	0.0	3.0
FOOD#PRICES:NEGATIVE	0.6667	0.5714	0.6154	0.4444	18.0
FOOD#QUALITY:POSITIVE	0.9375	0.8364	0.8841	0.7923	284.0
FOOD#QUALITY:NEUTRAL	0.875	0.5385	0.6667	0.5	14.0
FOOD#QUALITY:NEGATIVE	0.8214	0.7419	0.7797	0.6389	36.0
FOOD#STYLE_OPTIONS:POSITIVE	0.7143	0.6452	0.678	0.5128	39.0
FOOD#STYLE_OPTIONS:NEUTRAL	1.0	0.4444	0.6154	0.4444	9.0
FOOD#STYLE_OPTIONS:NEGATIVE	0.55	0.7333	0.6286	0.4583	24.0
LOCATION#GENERAL:POSITIVE	0.7273	0.7273	0.7273	0.5714	14.0
LOCATION#GENERAL:NEUTRAL	1.0	0.5	0.6667	0.5	2.0
LOCATION#GENERAL:NEGATIVE	0.0	0.0	0.0	0.0	1.0
RESTAURANT#GENERAL:POSITIVE	0.8532	0.8692	0.8611	0.7561	123.0
RESTAURANT#GENERAL:NEUTRAL	1.0	1.0	1.0	1.0	1.0
RESTAURANT#GENERAL:NEGATIVE	0.8421	0.9412	0.8889	0.8	40.0
RESTAURANT#MISCELLANEOUS:POSITIVE	0.5	0.375	0.4286	0.2727	22.0
RESTAURANT#MISCELLANEOUS:NEUTRAL	1.0	0.5	0.6667	0.5	4.0
RESTAURANT#MISCELLANEOUS:NEGATIVE	0.4444	0.3077	0.3636	0.2222	18.0
RESTAURANT#PRICES:POSITIVE	0.8333	0.8333	0.8333	0.7143	7.0
RESTAURANT#PRICES:NEUTRAL	0.6667	1.0	0.8	0.6667	3.0
RESTAURANT#PRICES:NEGATIVE	0.6923	0.6923	0.6923	0.5294	17.0
SERVICE#GENERAL:POSITIVE	0.9014	0.8889	0.8951	0.8101	79.0
SERVICE#GENERAL:NEUTRAL	1.0	0.4286	0.6	0.4286	7.0
SERVICE#GENERAL:NEGATIVE	0.7841	0.9079	0.8415	0.7263	95.0
Micro-AVG	0.8451	0.8068	0.8255	0.7028	986.0
Macro-AVG	0.6849	0.6166	0.6265		986
