	precision	recall	f1	accuracy	support
AMBIENCE#GENERAL	0.7857	0.7674	0.7764	0.6346	52.0
DRINKS#PRICES	1.0	0.6667	0.8	0.6667	3.0
DRINKS#QUALITY	0.8571	0.75	0.8	0.6667	9.0
DRINKS#STYLE_OPTIONS	1.0	0.6667	0.8	0.6667	6.0
FOOD#PRICES	0.75	0.375	0.5	0.3333	18.0
FOOD#QUALITY	0.9141	0.78	0.8417	0.7267	161.0
FOOD#STYLE_OPTIONS	0.5833	0.3182	0.4118	0.2593	27.0
LOCATION#GENERAL	0.6667	0.4	0.5	0.3333	6.0
RESTAURANT#GENERAL	0.8364	0.6571	0.736	0.5823	79.0
RESTAURANT#MISCELLANEOUS	0.0	0.0	0.0	0.0	18.0
RESTAURANT#PRICES	0.8	0.5714	0.6666	0.5	16.0
SERVICE#GENERAL	0.8734	0.92	0.8961	0.8118	85.0
Micro-AVG	0.8547	0.6993	0.7692	0.625	480.0
Macro-AVG	0.7556	0.5727	0.6441		480
