	precision	recall	f1	accuracy	support
AMBIENCE:NEGATIVE	0.6346	0.8684	0.7333	0.5789	57.0
AMBIENCE:NEUTRAL	0.0	0.0	0.0	0.0	2.0
AMBIENCE:POSITIVE	0.7864	0.9	0.8394	0.7232	112.0
FOOD:NEGATIVE	0.784	0.8883	0.8329	0.7137	234.0
FOOD:NEUTRAL	0.78	0.975	0.8667	0.7647	51.0
FOOD:POSITIVE	0.8788	0.9255	0.9016	0.8208	318.0
PRICE:NEGATIVE	0.8065	0.8929	0.8475	0.7353	68.0
PRICE:NEUTRAL	0.7778	0.7778	0.7778	0.6364	11.0
PRICE:POSITIVE	1.0	0.7857	0.88	0.7857	14.0
GENERAL-IMPRESSION:NEGATIVE	0.8654	0.8411	0.8531	0.7438	121.0
GENERAL-IMPRESSION:NEUTRAL	1.0	0.5	0.6667	0.5	10.0
GENERAL-IMPRESSION:POSITIVE	0.8796	0.7983	0.837	0.7197	132.0
SERVICE:NEGATIVE	0.8366	0.8533	0.8449	0.7314	175.0
SERVICE:NEUTRAL	0.6667	0.6667	0.6667	0.5	4.0
SERVICE:POSITIVE	0.9112	0.9222	0.9167	0.8462	182.0
Micro-AVG	0.8387	0.8808	0.8592	0.7532	1491.0
Macro-AVG	0.7738	0.773	0.7643		1491
