	precision	recall	f1	accuracy	support
AMBIENCE:NEGATIVE	0.9091	0.625	0.7407	0.5882	17.0
AMBIENCE:NEUTRAL	0.0	0.0	0.0	0.0	1.0
AMBIENCE:POSITIVE	0.8667	0.619	0.7222	0.5652	46.0
FOOD:NEGATIVE	0.9302	0.5405	0.6838	0.5195	77.0
FOOD:NEUTRAL	1.0	0.2	0.3333	0.2	15.0
FOOD:POSITIVE	0.7658	0.6693	0.7143	0.5556	153.0
PRICE:NEGATIVE	0.9167	0.5	0.6471	0.4783	23.0
PRICE:NEUTRAL	0.0	0.0	0.0	0.0	2.0
PRICE:POSITIVE	0.5556	1.0	0.7143	0.5556	9.0
GENERAL-IMPRESSION:NEGATIVE	0.9333	0.7179	0.8116	0.6829	41.0
GENERAL-IMPRESSION:NEUTRAL	1.0	0.3333	0.5	0.3333	3.0
GENERAL-IMPRESSION:POSITIVE	0.8302	0.9167	0.8713	0.7719	57.0
SERVICE:NEGATIVE	0.8036	0.7895	0.7965	0.6618	68.0
SERVICE:NEUTRAL	0.0	0.0	0.0	0.0	1.0
SERVICE:POSITIVE	0.6346	0.8919	0.7416	0.5893	112.0
Micro-AVG	0.7862	0.692	0.7361	0.5824	625.0
Macro-AVG	0.6764	0.5202	0.5518		625
