	precision	recall	f1	accuracy	support
AMBIENCE:NEGATIVE	0.9231	0.75	0.8276	0.7059	17.0
AMBIENCE:NEUTRAL	1.0	1.0	1.0	1.0	1.0
AMBIENCE:POSITIVE	0.7111	0.7805	0.7442	0.5926	54.0
FOOD:NEGATIVE	0.8514	0.8514	0.8514	0.7412	85.0
FOOD:NEUTRAL	0.7857	0.7333	0.7586	0.6111	18.0
FOOD:POSITIVE	0.9083	0.7795	0.839	0.7226	137.0
PRICE:NEGATIVE	0.8571	0.5455	0.6667	0.5	24.0
PRICE:NEUTRAL	0.5	1.0	0.6667	0.5	4.0
PRICE:POSITIVE	0.7143	1.0	0.8333	0.7143	7.0
GENERAL-IMPRESSION:NEGATIVE	0.9118	0.7949	0.8493	0.7381	42.0
GENERAL-IMPRESSION:NEUTRAL	0.75	1.0	0.8571	0.75	4.0
GENERAL-IMPRESSION:POSITIVE	0.9302	0.8333	0.8791	0.7843	51.0
SERVICE:NEGATIVE	0.9608	0.8596	0.9074	0.8305	59.0
SERVICE:NEUTRAL	1.0	1.0	1.0	1.0	1.0
SERVICE:POSITIVE	0.8857	0.8378	0.8611	0.7561	82.0
Micro-AVG	0.874	0.8057	0.8385	0.7218	586.0
Macro-AVG	0.846	0.8511	0.8361		586
