	precision	recall	f1	accuracy	support
AMBIENCE:NEGATIVE	0.6731	0.9211	0.7778	0.6364	55.0
AMBIENCE:NEUTRAL	0.0	0.0	0.0	0.0	2.0
AMBIENCE:POSITIVE	0.8778	0.8778	0.8778	0.7822	101.0
FOOD:NEGATIVE	0.7207	0.8511	0.7805	0.64	250.0
FOOD:NEUTRAL	0.85	0.85	0.85	0.7391	46.0
FOOD:POSITIVE	0.8693	0.8723	0.8708	0.7712	319.0
PRICE:NEGATIVE	0.9048	0.6786	0.7755	0.6333	60.0
PRICE:NEUTRAL	0.875	0.7778	0.8235	0.7	10.0
PRICE:POSITIVE	0.9167	0.7857	0.8462	0.7333	15.0
GENERAL-IMPRESSION:NEGATIVE	0.8333	0.9346	0.8811	0.7874	127.0
GENERAL-IMPRESSION:NEUTRAL	1.0	0.6	0.75	0.6	10.0
GENERAL-IMPRESSION:POSITIVE	0.8376	0.8235	0.8305	0.7101	138.0
SERVICE:NEGATIVE	0.9737	0.74	0.8409	0.7255	153.0
SERVICE:NEUTRAL	1.0	0.6667	0.8	0.6667	3.0
SERVICE:POSITIVE	0.9653	0.8323	0.8939	0.8081	172.0
Micro-AVG	0.8514	0.8361	0.8437	0.7296	1461.0
Macro-AVG	0.8198	0.7474	0.7732		1461
