	precision	recall	f1	accuracy	support
AMBIENCE#GENERAL	0.6154	0.6154	0.6154	0.4444	36.0
DRINKS#PRICES	1.0	0.5	0.6667	0.5	2.0
DRINKS#QUALITY	1.0	0.4	0.5714	0.4	5.0
DRINKS#STYLE_OPTIONS	0.75	0.75	0.75	0.6	5.0
FOOD#PRICES	1.0	0.4	0.5714	0.4	10.0
FOOD#QUALITY	0.9333	0.3333	0.4912	0.3256	86.0
FOOD#STYLE_OPTIONS	0.3103	0.6923	0.4286	0.2727	33.0
LOCATION#GENERAL	1.0	0.6667	0.8	0.6667	3.0
RESTAURANT#GENERAL	0.7317	0.7317	0.7317	0.5769	52.0
RESTAURANT#MISCELLANEOUS	0.0	0.0	0.0	0.0	10.0
RESTAURANT#PRICES	0.2	0.1111	0.1429	0.0769	13.0
SERVICE#GENERAL	0.8889	0.7273	0.8	0.6667	48.0
Micro-AVG	0.7111	0.51	0.594	0.4224	303.0
Macro-AVG	0.7025	0.494	0.5474		303
