	precision	recall	f1	accuracy	support
AMBIENCE#GENERAL	0.5909	0.5	0.5417	0.3714	35.0
DRINKS#PRICES	1.0	0.5	0.6667	0.5	2.0
DRINKS#QUALITY	0.5	0.2	0.2857	0.1667	6.0
DRINKS#STYLE_OPTIONS	0.6667	0.5	0.5714	0.4	5.0
FOOD#PRICES	0.5	0.5	0.5	0.3333	15.0
FOOD#QUALITY	0.7123	0.619	0.6624	0.4952	105.0
FOOD#STYLE_OPTIONS	0.4	0.3077	0.3478	0.2105	19.0
LOCATION#GENERAL	0.0	0.0	0.0	0.0	3.0
RESTAURANT#GENERAL	0.6923	0.2195	0.3333	0.2	45.0
RESTAURANT#MISCELLANEOUS	1.0	0.2	0.3333	0.2	10.0
RESTAURANT#PRICES	1.0	0.2222	0.3636	0.2222	9.0
SERVICE#GENERAL	0.7143	0.5682	0.6329	0.463	54.0
Micro-AVG	0.6705	0.4622	0.5472	0.3766	308.0
Macro-AVG	0.648	0.3614	0.4366		308
