	precision	recall	f1	accuracy	support
AMBIENCE#GENERAL	0.6078	0.7209	0.6596	0.4921	63.0
DRINKS#PRICES	0.6667	0.6667	0.6667	0.5	4.0
DRINKS#QUALITY	1.0	0.875	0.9333	0.875	8.0
DRINKS#STYLE_OPTIONS	0.3333	0.3333	0.3333	0.2	10.0
FOOD#PRICES	0.7692	0.625	0.6897	0.5263	19.0
FOOD#QUALITY	0.8552	0.8267	0.8407	0.7251	171.0
FOOD#STYLE_OPTIONS	0.6429	0.4091	0.5	0.3333	27.0
LOCATION#GENERAL	0.3333	0.2	0.25	0.1429	7.0
RESTAURANT#GENERAL	0.8689	0.7571	0.8092	0.6795	78.0
RESTAURANT#MISCELLANEOUS	0.625	0.2941	0.4	0.25	20.0
RESTAURANT#PRICES	0.8333	0.7143	0.7692	0.625	16.0
SERVICE#GENERAL	0.9118	0.8267	0.8671	0.7654	81.0
Micro-AVG	0.8082	0.7366	0.7707	0.627	504.0
Macro-AVG	0.7039	0.6041	0.6432		504
