	precision	recall	f1	accuracy	support
AMBIENCE#GENERAL	0.6364	0.814	0.7143	0.5556	63.0
DRINKS#PRICES	1.0	1.0	1.0	1.0	3.0
DRINKS#QUALITY	1.0	0.75	0.8571	0.75	8.0
DRINKS#STYLE_OPTIONS	1.0	0.8333	0.9091	0.8333	6.0
FOOD#PRICES	0.8	0.75	0.7742	0.6316	19.0
FOOD#QUALITY	0.8841	0.8133	0.8472	0.7349	166.0
FOOD#STYLE_OPTIONS	0.5833	0.3182	0.4118	0.2593	27.0
LOCATION#GENERAL	1.0	0.2	0.3333	0.2	5.0
RESTAURANT#GENERAL	0.7778	0.7	0.7368	0.5833	84.0
RESTAURANT#MISCELLANEOUS	0.0	0.0	0.0	0.0	17.0
RESTAURANT#PRICES	1.0	0.1429	0.25	0.1429	14.0
SERVICE#GENERAL	0.9828	0.76	0.8571	0.75	76.0
Micro-AVG	0.8352	0.697	0.7598	0.6127	488.0
Macro-AVG	2.4161	1.7704	1.9227		488
