	precision	recall	f1	accuracy	support
AMBIENCE#GENERAL	0.7778	0.8485	0.8116	0.6829	82.0
DRINKS#PRICES	0.5	0.25	0.3333	0.2	5.0
DRINKS#QUALITY	0.8889	0.7273	0.8	0.6667	24.0
DRINKS#STYLE_OPTIONS	1.0	0.75	0.8571	0.75	12.0
FOOD#PRICES	0.68	0.7391	0.7083	0.5484	31.0
FOOD#QUALITY	0.8951	0.7636	0.8241	0.7009	341.0
FOOD#STYLE_OPTIONS	0.8333	0.5455	0.6593	0.4918	61.0
LOCATION#GENERAL	0.5333	0.6154	0.5714	0.4	20.0
RESTAURANT#GENERAL	0.8898	0.7394	0.8077	0.6774	155.0
RESTAURANT#MISCELLANEOUS	0.3158	0.1818	0.2308	0.1304	46.0
RESTAURANT#PRICES	0.7895	0.7143	0.75	0.6	25.0
SERVICE#GENERAL	0.8618	0.8452	0.8534	0.7443	176.0
Micro-AVG	0.8418	0.7369	0.7858	0.6472	978.0
Macro-AVG	0.7471	0.6433	0.6839		978
