	precision	recall	f1	accuracy	support
AMBIENCE#GENERAL:POSITIVE	0.8548	0.8689	0.8618	0.7571	70.0
AMBIENCE#GENERAL:NEUTRAL	1.0	0.3333	0.5	0.3333	3.0
AMBIENCE#GENERAL:NEGATIVE	0.2222	1.0	0.3636	0.2222	9.0
DRINKS#PRICES:POSITIVE	0	0	0	0	0
DRINKS#PRICES:NEUTRAL	0	0	0	0	0
DRINKS#PRICES:NEGATIVE	0.5	0.25	0.3333	0.2	5.0
DRINKS#QUALITY:POSITIVE	0.8824	0.7143	0.7895	0.6522	23.0
DRINKS#QUALITY:NEUTRAL	0	0	0	0	0
DRINKS#QUALITY:NEGATIVE	1.0	1.0	1.0	1.0	1.0
DRINKS#STYLE_OPTIONS:POSITIVE	1.0	0.7273	0.8421	0.7273	11.0
DRINKS#STYLE_OPTIONS:NEUTRAL	0	0	0	0	0
DRINKS#STYLE_OPTIONS:NEGATIVE	1.0	1.0	1.0	1.0	1.0
FOOD#PRICES:POSITIVE	0.75	1.0	0.8571	0.75	8.0
FOOD#PRICES:NEUTRAL	0.0	0.0	0.0	0.0	3.0
FOOD#PRICES:NEGATIVE	0.6471	0.7857	0.7097	0.55	20.0
FOOD#QUALITY:POSITIVE	0.92	0.7782	0.8432	0.7289	284.0
FOOD#QUALITY:NEUTRAL	0.8571	0.4615	0.6	0.4286	14.0
FOOD#QUALITY:NEGATIVE	0.7273	0.7742	0.75	0.6	40.0
FOOD#STYLE_OPTIONS:POSITIVE	0.8	0.6452	0.7143	0.5556	36.0
FOOD#STYLE_OPTIONS:NEUTRAL	1.0	0.2222	0.3636	0.2222	9.0
FOOD#STYLE_OPTIONS:NEGATIVE	0.8889	0.5333	0.6666	0.5	16.0
LOCATION#GENERAL:POSITIVE	0.6667	0.7273	0.6957	0.5333	15.0
LOCATION#GENERAL:NEUTRAL	0.0	0.0	0.0	0.0	3.0
LOCATION#GENERAL:NEGATIVE	0.0	0.0	0.0	0.0	2.0
RESTAURANT#GENERAL:POSITIVE	0.9146	0.7009	0.7936	0.6579	114.0
RESTAURANT#GENERAL:NEUTRAL	0.5	1.0	0.6667	0.5	2.0
RESTAURANT#GENERAL:NEGATIVE	0.8529	0.8529	0.8529	0.7436	39.0
RESTAURANT#MISCELLANEOUS:POSITIVE	0.2143	0.1875	0.2	0.1111	27.0
RESTAURANT#MISCELLANEOUS:NEUTRAL	0.0	0.0	0.0	0.0	4.0
RESTAURANT#MISCELLANEOUS:NEGATIVE	0.6	0.2308	0.3334	0.2	15.0
RESTAURANT#PRICES:POSITIVE	0.8333	0.8333	0.8333	0.7143	7.0
RESTAURANT#PRICES:NEUTRAL	0.6667	1.0	0.8	0.6667	3.0
RESTAURANT#PRICES:NEGATIVE	0.8	0.6154	0.6957	0.5333	15.0
SERVICE#GENERAL:POSITIVE	0.8732	0.8611	0.8671	0.7654	81.0
SERVICE#GENERAL:NEUTRAL	1.0	0.2857	0.4444	0.2857	7.0
SERVICE#GENERAL:NEGATIVE	0.8481	0.8816	0.8645	0.7614	88.0
Micro-AVG	0.8413	0.7371	0.7858	0.6472	975.0
Macro-AVG	0.6061	0.5353	0.5345		975
