	precision	recall	f1	accuracy	support
AMBIENCE#GENERAL	0.8485	0.6087	0.7089	0.549	51.0
DRINKS#PRICES	0.6	1.0	0.75	0.6	5.0
DRINKS#QUALITY	0.4444	0.5714	0.5	0.3333	12.0
DRINKS#STYLE_OPTIONS	1.0	1.0	1.0	1.0	7.0
FOOD#PRICES	0.7778	0.9333	0.8485	0.7368	19.0
FOOD#QUALITY	0.8723	0.8255	0.8483	0.7365	167.0
FOOD#STYLE_OPTIONS	0.7241	0.84	0.7778	0.6364	33.0
LOCATION#GENERAL	0.5	0.4	0.4444	0.2857	7.0
RESTAURANT#GENERAL	0.8205	0.9143	0.8649	0.7619	84.0
RESTAURANT#MISCELLANEOUS	0.6	0.5	0.5455	0.375	24.0
RESTAURANT#PRICES	0.6923	0.6923	0.6923	0.5294	17.0
SERVICE#GENERAL	0.9429	0.9296	0.9362	0.88	75.0
Micro-AVG	0.8294	0.8159	0.8226	0.6986	501.0
Macro-AVG	0.7352	0.7679	0.7431		501
