	precision	recall	f1	accuracy	support
AMBIENCE#GENERAL	0.7209	0.7209	0.7209	0.5636	55.0
DRINKS#PRICES	0.75	1.0	0.8571	0.75	4.0
DRINKS#QUALITY	0.8571	0.75	0.8	0.6667	9.0
DRINKS#STYLE_OPTIONS	0.8	0.6667	0.7273	0.5714	7.0
FOOD#PRICES	0.7143	0.625	0.6667	0.5	20.0
FOOD#QUALITY	0.8367	0.82	0.8283	0.7069	174.0
FOOD#STYLE_OPTIONS	0.5294	0.4091	0.4615	0.3	30.0
LOCATION#GENERAL	1.0	0.6	0.75	0.6	5.0
RESTAURANT#GENERAL	0.7812	0.7143	0.7463	0.5952	84.0
RESTAURANT#MISCELLANEOUS	0.6667	0.2353	0.3478	0.2105	19.0
RESTAURANT#PRICES	0.9167	0.7857	0.8462	0.7333	15.0
SERVICE#GENERAL	0.759	0.84	0.7975	0.6632	95.0
Micro-AVG	0.7827	0.7389	0.7602	0.6132	517.0
Macro-AVG	0.7777	0.6806	0.7125		517
