	precision	recall	f1	accuracy	support
AMBIENCE#GENERAL	0.8372	0.8372	0.8372	0.72	50.0
DRINKS#PRICES	0.75	1.0	0.8571	0.75	4.0
DRINKS#QUALITY	0.7	0.875	0.7778	0.6364	11.0
DRINKS#STYLE_OPTIONS	0.8	0.6667	0.7273	0.5714	7.0
FOOD#PRICES	0.9091	0.625	0.7407	0.5882	17.0
FOOD#QUALITY	0.9079	0.92	0.9139	0.8415	164.0
FOOD#STYLE_OPTIONS	0.8	0.5455	0.6486	0.48	25.0
LOCATION#GENERAL	0.8	0.8	0.8	0.6667	6.0
RESTAURANT#GENERAL	0.8333	0.7857	0.8088	0.679	81.0
RESTAURANT#MISCELLANEOUS	0.55	0.6471	0.5946	0.4231	26.0
RESTAURANT#PRICES	0.8235	1.0	0.9032	0.8235	17.0
SERVICE#GENERAL	0.9167	0.88	0.898	0.8148	81.0
Micro-AVG	0.8571	0.8392	0.8481	0.7362	489.0
Macro-AVG	2.4069	2.3956	2.3768		489
