	precision	recall	f1	accuracy	support
AMBIENCE#GENERAL	0.7826	0.8372	0.809	0.6792	53.0
DRINKS#PRICES	0.5	1.0	0.6667	0.5	6.0
DRINKS#QUALITY	0.8333	0.625	0.7143	0.5556	9.0
DRINKS#STYLE_OPTIONS	1.0	0.8333	0.9091	0.8333	6.0
FOOD#PRICES	0.7	0.4375	0.5385	0.3684	19.0
FOOD#QUALITY	0.8707	0.8533	0.862	0.7574	169.0
FOOD#STYLE_OPTIONS	0.5417	0.5909	0.5652	0.3939	33.0
LOCATION#GENERAL	1.0	0.6	0.75	0.6	5.0
RESTAURANT#GENERAL	0.8065	0.7143	0.7576	0.6098	82.0
RESTAURANT#MISCELLANEOUS	0.7143	0.2941	0.4167	0.2632	19.0
RESTAURANT#PRICES	0.7059	0.8571	0.7742	0.6316	19.0
SERVICE#GENERAL	0.8148	0.88	0.8462	0.7333	90.0
Micro-AVG	0.8043	0.7762	0.79	0.6529	510.0
Macro-AVG	0.7725	0.7102	0.7175		510
