	precision	recall	f1	accuracy	support
AMBIENCE#GENERAL:POSITIVE	0.9	0.8182	0.8571	0.75	36.0
AMBIENCE#GENERAL:NEUTRAL	0.25	0.3333	0.2857	0.1667	6.0
AMBIENCE#GENERAL:NEGATIVE	0.5833	1.0	0.7368	0.5833	12.0
DRINKS#PRICES:POSITIVE	1.0	1.0	1.0	1.0	2.0
DRINKS#PRICES:NEUTRAL	0	0	0	0	0
DRINKS#PRICES:NEGATIVE	1.0	1.0	1.0	1.0	1.0
DRINKS#QUALITY:POSITIVE	1.0	0.7143	0.8333	0.7143	7.0
DRINKS#QUALITY:NEUTRAL	0	0	0	0	0
DRINKS#QUALITY:NEGATIVE	0.0	0.0	0.0	0.0	1.0
DRINKS#STYLE_OPTIONS:POSITIVE	1.0	0.8	0.8889	0.8	5.0
DRINKS#STYLE_OPTIONS:NEUTRAL	0	0	0	0	0
DRINKS#STYLE_OPTIONS:NEGATIVE	1.0	1.0	1.0	1.0	1.0
FOOD#PRICES:POSITIVE	1.0	0.4286	0.6	0.4286	7.0
FOOD#PRICES:NEUTRAL	0.0	0.0	0.0	0.0	1.0
FOOD#PRICES:NEGATIVE	0.7778	0.7778	0.7778	0.6364	11.0
FOOD#QUALITY:POSITIVE	0.8571	0.8727	0.8649	0.7619	126.0
FOOD#QUALITY:NEUTRAL	0.6667	0.4	0.5	0.3333	6.0
FOOD#QUALITY:NEGATIVE	0.8966	0.7429	0.8125	0.6842	38.0
FOOD#STYLE_OPTIONS:POSITIVE	0.5	0.5385	0.5185	0.35	20.0
FOOD#STYLE_OPTIONS:NEUTRAL	0.0	0.0	0.0	0.0	2.0
FOOD#STYLE_OPTIONS:NEGATIVE	0.5	0.2857	0.3636	0.2222	9.0
LOCATION#GENERAL:POSITIVE	0.6667	0.5	0.5714	0.4	5.0
LOCATION#GENERAL:NEUTRAL	0.0	0.0	0.0	0.0	1.0
LOCATION#GENERAL:NEGATIVE	0	0	0	0	0
RESTAURANT#GENERAL:POSITIVE	0.8125	0.75	0.78	0.6393	61.0
RESTAURANT#GENERAL:NEUTRAL	0.0	0.0	0.0	0.0	1.0
RESTAURANT#GENERAL:NEGATIVE	0.7647	0.7647	0.7647	0.619	21.0
RESTAURANT#MISCELLANEOUS:POSITIVE	1.0	0.1	0.1818	0.1	10.0
RESTAURANT#MISCELLANEOUS:NEUTRAL	0.0	0.0	0.0	0.0	2.0
RESTAURANT#MISCELLANEOUS:NEGATIVE	0.0	0.0	0.0	0.0	5.0
RESTAURANT#PRICES:POSITIVE	0.8571	1.0	0.9231	0.8571	7.0
RESTAURANT#PRICES:NEUTRAL	0.0	0.0	0.0	0.0	1.0
RESTAURANT#PRICES:NEGATIVE	0.5	0.1429	0.2222	0.125	8.0
SERVICE#GENERAL:POSITIVE	0.8611	0.9118	0.8857	0.7949	39.0
SERVICE#GENERAL:NEUTRAL	1.0	0.5	0.6667	0.5	2.0
SERVICE#GENERAL:NEGATIVE	0.8919	0.8462	0.8684	0.7674	43.0
Micro-AVG	0.8238	0.7413	0.7804	0.6398	497.0
Macro-AVG	0.5357	0.4508	0.4695		497
