	precision	recall	f1	accuracy	support
AMBIENCE#GENERAL	0.8333	0.814	0.8235	0.7	50.0
DRINKS#PRICES	1.0	0.3333	0.5	0.3333	3.0
DRINKS#QUALITY	0.8	0.5	0.6154	0.4444	9.0
DRINKS#STYLE_OPTIONS	1.0	0.5	0.6667	0.5	6.0
FOOD#PRICES	0.7857	0.6875	0.7333	0.5789	19.0
FOOD#QUALITY	0.8768	0.8067	0.8403	0.7246	167.0
FOOD#STYLE_OPTIONS	0.9	0.4091	0.5625	0.3913	23.0
LOCATION#GENERAL	1.0	0.4	0.5714	0.4	5.0
RESTAURANT#GENERAL	0.8525	0.7429	0.7939	0.6582	79.0
RESTAURANT#MISCELLANEOUS	1.0	0.0588	0.1111	0.0588	17.0
RESTAURANT#PRICES	1.0	0.2143	0.3529	0.2143	14.0
SERVICE#GENERAL	0.9853	0.8933	0.9371	0.8816	76.0
Micro-AVG	0.8879	0.7203	0.7954	0.6603	468.0
Macro-AVG	2.7584	1.59	1.877		468
