	precision	recall	f1	accuracy	support
AMBIENCE#GENERAL	0.4615	0.4615	0.4615	0.3	40.0
DRINKS#PRICES	1.0	1.0	1.0	1.0	2.0
DRINKS#QUALITY	0.75	0.6	0.6667	0.5	6.0
DRINKS#STYLE_OPTIONS	0.6	0.75	0.6667	0.5	6.0
FOOD#PRICES	0.4444	0.4	0.421	0.2667	15.0
FOOD#QUALITY	0.7805	0.7619	0.7711	0.6275	102.0
FOOD#STYLE_OPTIONS	0.6364	0.5385	0.5834	0.4118	17.0
LOCATION#GENERAL	0.0	0.0	0.0	0.0	6.0
RESTAURANT#GENERAL	0.6591	0.7073	0.6823	0.5179	56.0
RESTAURANT#MISCELLANEOUS	0.1176	0.2	0.1481	0.08	25.0
RESTAURANT#PRICES	0.3684	0.7778	0.5	0.3333	21.0
SERVICE#GENERAL	0.8684	0.75	0.8049	0.6735	49.0
Micro-AVG	0.6385	0.6614	0.6497	0.4812	345.0
Macro-AVG	0.5572	0.5789	0.5588		345
