	precision	recall	f1	accuracy	support
AMBIENCE#GENERAL	0.6512	0.6512	0.6512	0.4828	58.0
DRINKS#PRICES	1.0	1.0	1.0	1.0	3.0
DRINKS#QUALITY	1.0	0.5	0.6667	0.5	8.0
DRINKS#STYLE_OPTIONS	1.0	0.6667	0.8	0.6667	6.0
FOOD#PRICES	0.4667	0.4375	0.4516	0.2917	24.0
FOOD#QUALITY	0.7551	0.74	0.7475	0.5968	186.0
FOOD#STYLE_OPTIONS	0.4	0.1818	0.25	0.1429	28.0
LOCATION#GENERAL	0.5	0.2	0.2857	0.1667	6.0
RESTAURANT#GENERAL	0.7692	0.5714	0.6557	0.4878	82.0
RESTAURANT#MISCELLANEOUS	0.0	0.0	0.0	0.0	17.0
RESTAURANT#PRICES	0.6667	0.1429	0.2354	0.1333	15.0
SERVICE#GENERAL	0.9016	0.7333	0.8088	0.679	81.0
Micro-AVG	0.7529	0.6037	0.6701	0.5039	514.0
Macro-AVG	0.6759	0.4854	0.5461		514
