	precision	recall	f1	accuracy	support
AMBIENCE#GENERAL	0.8219	0.9091	0.8633	0.7595	79.0
DRINKS#PRICES	0.8	1.0	0.8889	0.8	5.0
DRINKS#QUALITY	0.9444	0.7727	0.85	0.7391	23.0
DRINKS#STYLE_OPTIONS	0.9091	0.8333	0.8696	0.7692	13.0
FOOD#PRICES	0.5938	0.8261	0.6909	0.5278	36.0
FOOD#QUALITY	0.8847	0.9073	0.8959	0.8114	350.0
FOOD#STYLE_OPTIONS	0.6441	0.6909	0.6667	0.5	76.0
LOCATION#GENERAL	0.45	0.6923	0.5455	0.375	24.0
RESTAURANT#GENERAL	0.8915	0.8099	0.8487	0.7372	156.0
RESTAURANT#MISCELLANEOUS	0.3077	0.3636	0.3333	0.2	60.0
RESTAURANT#PRICES	0.7778	0.6667	0.7179	0.56	25.0
SERVICE#GENERAL	0.8439	0.9419	0.8902	0.8022	182.0
Micro-AVG	0.8107	0.8475	0.8287	0.7075	1029.0
Macro-AVG	0.7391	0.7845	0.7551		1029
