	precision	recall	f1	accuracy	support
AMBIENCE#GENERAL	0.8222	0.8605	0.8409	0.7255	51.0
DRINKS#PRICES	1.0	1.0	1.0	1.0	3.0
DRINKS#QUALITY	0.875	0.875	0.875	0.7778	9.0
DRINKS#STYLE_OPTIONS	0.8333	0.8333	0.8333	0.7143	7.0
FOOD#PRICES	1.0	0.625	0.7692	0.625	16.0
FOOD#QUALITY	0.8981	0.94	0.9186	0.8494	166.0
FOOD#STYLE_OPTIONS	0.8	0.5455	0.6486	0.48	25.0
LOCATION#GENERAL	0.75	0.6	0.6667	0.5	6.0
RESTAURANT#GENERAL	0.8852	0.7714	0.8244	0.7013	77.0
RESTAURANT#MISCELLANEOUS	0.6111	0.6471	0.6286	0.4583	24.0
RESTAURANT#PRICES	0.7778	1.0	0.875	0.7778	18.0
SERVICE#GENERAL	0.8875	0.9467	0.9161	0.8452	84.0
Micro-AVG	0.8659	0.8578	0.8618	0.7572	486.0
Macro-AVG	2.5351	2.4111	2.4491		486
