	precision	recall	f1	accuracy	support
AMBIENCE#GENERAL:POSITIVE	0.7333	1.0	0.8461	0.7333	15.0
AMBIENCE#GENERAL:NEUTRAL	0.5	1.0	0.6667	0.5	2.0
AMBIENCE#GENERAL:NEGATIVE	1.0	0.5	0.6667	0.5	2.0
DRINKS#PRICES:POSITIVE	0.5	1.0	0.6667	0.5	2.0
DRINKS#PRICES:NEUTRAL	0	0	0	0	0
DRINKS#PRICES:NEGATIVE	1.0	1.0	1.0	1.0	1.0
DRINKS#QUALITY:POSITIVE	1.0	1.0	1.0	1.0	2.0
DRINKS#QUALITY:NEUTRAL	0	0	0	0	0
DRINKS#QUALITY:NEGATIVE	0.0	0.0	0.0	0.0	1.0
DRINKS#STYLE_OPTIONS:POSITIVE	1.0	0.5	0.6667	0.5	2.0
DRINKS#STYLE_OPTIONS:NEUTRAL	0	0	0	0	0
DRINKS#STYLE_OPTIONS:NEGATIVE	1.0	1.0	1.0	1.0	1.0
FOOD#PRICES:POSITIVE	0.5	1.0	0.6667	0.5	4.0
FOOD#PRICES:NEUTRAL	0	0	0	0	0
FOOD#PRICES:NEGATIVE	0.5	0.3333	0.4	0.25	4.0
FOOD#QUALITY:POSITIVE	0.7838	1.0	0.8788	0.7838	37.0
FOOD#QUALITY:NEUTRAL	1.0	1.0	1.0	1.0	2.0
FOOD#QUALITY:NEGATIVE	0.8182	1.0	0.9	0.8182	11.0
FOOD#STYLE_OPTIONS:POSITIVE	1.0	0.25	0.4	0.25	4.0
FOOD#STYLE_OPTIONS:NEUTRAL	0.0	0.0	0.0	0.0	1.0
FOOD#STYLE_OPTIONS:NEGATIVE	0.0	0.0	0.0	0.0	2.0
LOCATION#GENERAL:POSITIVE	1.0	1.0	1.0	1.0	1.0
LOCATION#GENERAL:NEUTRAL	0.0	0.0	0.0	0.0	1.0
LOCATION#GENERAL:NEGATIVE	0	0	0	0	0
RESTAURANT#GENERAL:POSITIVE	0.5714	0.5333	0.5517	0.381	21.0
RESTAURANT#GENERAL:NEUTRAL	0.5	1.0	0.6667	0.5	2.0
RESTAURANT#GENERAL:NEGATIVE	0.7143	1.0	0.8333	0.7143	7.0
RESTAURANT#MISCELLANEOUS:POSITIVE	0.0	0.0	0.0	0.0	3.0
RESTAURANT#MISCELLANEOUS:NEUTRAL	0.0	0.0	0.0	0.0	1.0
RESTAURANT#MISCELLANEOUS:NEGATIVE	0.0	0.0	0.0	0.0	2.0
RESTAURANT#PRICES:POSITIVE	1.0	1.0	1.0	1.0	2.0
RESTAURANT#PRICES:NEUTRAL	0.0	0.0	0.0	0.0	1.0
RESTAURANT#PRICES:NEGATIVE	0.3333	0.5	0.4	0.25	4.0
SERVICE#GENERAL:POSITIVE	0.8182	0.9	0.8572	0.75	12.0
SERVICE#GENERAL:NEUTRAL	0.0	0.0	0.0	0.0	1.0
SERVICE#GENERAL:NEGATIVE	0.8333	0.9091	0.8696	0.7692	13.0
Micro-AVG	0.7463	0.7692	0.7576	0.6098	164.0
Macro-AVG	0.4752	0.5118	0.4705		164
