	precision	recall	f1	accuracy	support
AMBIENCE#GENERAL	0.7105	0.6279	0.6667	0.5	54.0
DRINKS#PRICES	1.0	0.6667	0.8	0.6667	3.0
DRINKS#QUALITY	1.0	0.5	0.6667	0.5	8.0
DRINKS#STYLE_OPTIONS	0.8	0.6667	0.7273	0.5714	7.0
FOOD#PRICES	0.6667	0.5	0.5714	0.4	20.0
FOOD#QUALITY	0.8219	0.8	0.8108	0.6818	176.0
FOOD#STYLE_OPTIONS	0.4375	0.3182	0.3684	0.2258	31.0
LOCATION#GENERAL	1.0	0.4	0.5714	0.4	5.0
RESTAURANT#GENERAL	0.697	0.6571	0.6765	0.5111	90.0
RESTAURANT#MISCELLANEOUS	1.0	0.0588	0.1111	0.0588	17.0
RESTAURANT#PRICES	0.7	0.5	0.5833	0.4118	17.0
SERVICE#GENERAL	0.8082	0.7867	0.7973	0.6629	89.0
Micro-AVG	0.7653	0.669	0.7139	0.5551	517.0
Macro-AVG	0.8035	0.5402	0.6126		517
