	precision	recall	f1	accuracy	support
AMBIENCE#GENERAL	0.3913	0.6429	0.4865	0.3214	28.0
DRINKS#PRICES	1.0	1.0	1.0	1.0	2.0
DRINKS#QUALITY	0.5	0.3333	0.4	0.25	4.0
DRINKS#STYLE_OPTIONS	1.0	0.3333	0.5	0.3333	3.0
FOOD#PRICES	0.3333	0.6	0.4285	0.2727	11.0
FOOD#QUALITY	0.7674	0.825	0.7952	0.66	50.0
FOOD#STYLE_OPTIONS	0.0	0.0	0.0	0.0	7.0
LOCATION#GENERAL	0.5	0.5	0.5	0.3333	3.0
RESTAURANT#GENERAL	0.6	0.7143	0.6522	0.4839	31.0
RESTAURANT#MISCELLANEOUS	0.0	0.0	0.0	0.0	6.0
RESTAURANT#PRICES	0.6667	0.4	0.5	0.3333	6.0
SERVICE#GENERAL	0.8333	0.6818	0.75	0.6	25.0
Micro-AVG	0.6406	0.6308	0.6357	0.4659	176.0
Macro-AVG	0.5493	0.5025	0.501		176
