	precision	recall	f1	accuracy	support
AMBIENCE#GENERAL	0.8857	0.7209	0.7949	0.6596	47.0
DRINKS#PRICES	1.0	0.6667	0.8	0.6667	3.0
DRINKS#QUALITY	1.0	0.5	0.6667	0.5	8.0
DRINKS#STYLE_OPTIONS	1.0	0.8333	0.9091	0.8333	6.0
FOOD#PRICES	0.7273	0.5	0.5926	0.4211	19.0
FOOD#QUALITY	0.8456	0.84	0.8428	0.7283	173.0
FOOD#STYLE_OPTIONS	0.5	0.3182	0.3889	0.2414	29.0
LOCATION#GENERAL	0.4	0.4	0.4	0.25	8.0
RESTAURANT#GENERAL	0.7812	0.7143	0.7463	0.5952	84.0
RESTAURANT#MISCELLANEOUS	0.0	0.0	0.0	0.0	17.0
RESTAURANT#PRICES	0.7	0.5	0.5833	0.4118	17.0
SERVICE#GENERAL	0.8421	0.8533	0.8477	0.7356	87.0
Micro-AVG	0.816	0.7133	0.7612	0.6145	498.0
Macro-AVG	0.7235	0.5706	0.631		498
