	precision	recall	f1	accuracy	support
AMBIENCE#GENERAL	0.6977	0.6977	0.6977	0.5357	56.0
DRINKS#PRICES	0.25	0.3333	0.2857	0.1667	6.0
DRINKS#QUALITY	0.6667	0.75	0.7059	0.5455	11.0
DRINKS#STYLE_OPTIONS	0.6667	0.6667	0.6667	0.5	8.0
FOOD#PRICES	0.7692	0.625	0.6896	0.5263	19.0
FOOD#QUALITY	0.8188	0.8133	0.816	0.6893	177.0
FOOD#STYLE_OPTIONS	0.7273	0.3636	0.4848	0.32	25.0
LOCATION#GENERAL	0.3333	0.2	0.25	0.1429	7.0
RESTAURANT#GENERAL	0.8226	0.7286	0.7728	0.6296	81.0
RESTAURANT#MISCELLANEOUS	0.5	0.2941	0.3704	0.2273	22.0
RESTAURANT#PRICES	0.5	0.3571	0.4166	0.2632	19.0
SERVICE#GENERAL	0.8676	0.7867	0.8252	0.7024	84.0
Micro-AVG	0.7784	0.704	0.7393	0.5864	515.0
Macro-AVG	0.635	0.5513	0.5818		515
