	precision	recall	f1	accuracy	support
AMBIENCE#GENERAL	0.8	0.4615	0.5853	0.4138	29.0
DRINKS#PRICES	0.5	0.5	0.5	0.3333	3.0
DRINKS#QUALITY	0.6667	0.4	0.5	0.3333	6.0
DRINKS#STYLE_OPTIONS	1.0	0.5	0.6667	0.5	4.0
FOOD#PRICES	1.0	0.2	0.3333	0.2	10.0
FOOD#QUALITY	0.9138	0.631	0.7465	0.5955	89.0
FOOD#STYLE_OPTIONS	0.6667	0.1538	0.2499	0.1429	14.0
LOCATION#GENERAL	0.6667	0.6667	0.6667	0.5	4.0
RESTAURANT#GENERAL	0.7727	0.8293	0.8	0.6667	51.0
RESTAURANT#MISCELLANEOUS	0.0	0.0	0.0	0.0	10.0
RESTAURANT#PRICES	0.7143	0.5556	0.625	0.4545	11.0
SERVICE#GENERAL	0.8462	0.75	0.7952	0.66	50.0
Micro-AVG	0.8315	0.5896	0.69	0.5267	281.0
Macro-AVG	0.7123	0.4707	0.5391		281
