	precision	recall	f1	accuracy	support
AMBIENCE#GENERAL	0.9231	0.8372	0.878	0.7826	46.0
DRINKS#PRICES	0.75	1.0	0.8571	0.75	4.0
DRINKS#QUALITY	0.875	0.875	0.875	0.7778	9.0
DRINKS#STYLE_OPTIONS	1.0	0.8333	0.9091	0.8333	6.0
FOOD#PRICES	1.0	0.3125	0.4762	0.3125	16.0
FOOD#QUALITY	0.9407	0.8467	0.8912	0.8038	158.0
FOOD#STYLE_OPTIONS	0.8571	0.5455	0.6667	0.5	24.0
LOCATION#GENERAL	1.0	0.4	0.5714	0.4	5.0
RESTAURANT#GENERAL	0.8333	0.8571	0.8451	0.7317	82.0
RESTAURANT#MISCELLANEOUS	0.5	0.4706	0.4848	0.32	25.0
RESTAURANT#PRICES	0.6	0.6429	0.6207	0.45	20.0
SERVICE#GENERAL	0.9559	0.8667	0.9091	0.8333	78.0
Micro-AVG	0.8851	0.7902	0.835	0.7167	473.0
Macro-AVG	2.5588	2.1219	2.2461		473
