	precision	recall	f1	accuracy	support
AMBIENCE#GENERAL	0.5294	0.6279	0.5745	0.403	67.0
DRINKS#PRICES	1.0	0.3333	0.5	0.3333	3.0
DRINKS#QUALITY	0.8	0.5	0.6154	0.4444	9.0
DRINKS#STYLE_OPTIONS	1.0	0.6667	0.8	0.6667	6.0
FOOD#PRICES	0.5714	0.25	0.3478	0.2105	19.0
FOOD#QUALITY	0.8509	0.6467	0.7348	0.5808	167.0
FOOD#STYLE_OPTIONS	0.3333	0.0455	0.08	0.0417	24.0
LOCATION#GENERAL	1.0	0.4	0.5714	0.4	5.0
RESTAURANT#GENERAL	0.8776	0.6143	0.7227	0.5658	76.0
RESTAURANT#MISCELLANEOUS	0.0	0.0	0.0	0.0	17.0
RESTAURANT#PRICES	0.8	0.2857	0.4211	0.2667	15.0
SERVICE#GENERAL	0.9149	0.5733	0.7049	0.5443	79.0
Micro-AVG	0.7986	0.5361	0.6416	0.4723	487.0
Macro-AVG	0.7231	0.4119	0.506		487
